"MacroTrends Data Download"
"ALGT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-12-08,19.4405,21.263,19.4405,20.3315,4489105
2006-12-11,20.3315,22.5428,20.0885,21.3035,572875
2006-12-12,20.9633,21.83,20.7041,21.1172,183801
2006-12-13,21.101,22.1945,21.101,21.749,267878
2006-12-14,21.2711,23.2475,21.2711,22.5509,238987
2006-12-15,23.1989,23.3204,21.5546,22.397,190131
2006-12-18,22.397,22.9154,21.83,22.316,78280
2006-12-19,21.7733,21.8624,21.1739,21.4574,125754
2006-12-20,21.6194,22.0325,21.4736,21.9515,92464
2006-12-21,22.0649,22.3484,21.6599,22.3322,115509
2006-12-22,21.9191,22.6805,21.8786,22.0568,87427
2006-12-26,22.6481,22.6481,22.0406,22.2917,24866
2006-12-27,22.1054,22.6805,22.1054,22.6157,34342
2006-12-28,22.5995,23.0045,22.478,22.5995,47231
2006-12-29,22.7777,22.8425,22.5023,22.7291,25733
2007-01-03,22.9721,22.9721,22.2836,22.4942,79640
2007-01-04,22.2593,22.9802,22.2593,22.4942,77106
2007-01-05,22.3565,22.559,22.0811,22.478,75860
2007-01-08,22.6076,22.6076,21.6105,21.8543,108558
2007-01-09,22.073,22.1945,21.668,21.8624,83259
2007-01-10,21.8219,22.1378,20.9228,21.8462,159161
2007-01-11,21.83,22.235,21.4736,22.1621,62426
2007-01-12,22.2755,22.9235,22.2107,22.883,74707
2007-01-16,23.0855,24.2276,21.992,23.9603,188680
2007-01-17,24.3005,25.0295,24.098,24.3005,85718
2007-01-18,24.3411,24.7218,23.9361,24.4545,43529
2007-01-19,24.3005,24.3005,23.6606,23.9036,39987
2007-01-22,23.5067,24.098,21.6923,24.0332,166962
2007-01-23,23.4922,26.2203,22.802,25.2158,181976
2007-01-24,25.5561,26.52,25.2321,26.1798,87636
2007-01-25,26.3256,26.3256,25.7424,25.9044,79538
2007-01-26,26.3985,26.5281,25.7424,25.9206,24988
2007-01-29,26.3175,26.3256,25.6938,25.7991,115164
2007-01-30,26.0243,26.5686,25.5156,26.3985,43065
2007-01-31,25.9854,27.6702,25.9206,26.9331,114639
2007-02-01,27.1032,27.6783,26.7711,27.5811,89534
2007-02-02,27.9456,28.4073,27.4434,28.302,62979
2007-02-05,28.4316,29.2497,28.0833,28.5126,114883
2007-02-06,28.1562,28.9176,27.1437,27.5649,48458
2007-02-07,27.9456,27.9456,27.2247,27.5972,56875
2007-02-08,27.6054,28.0023,26.5929,27.0951,116701
2007-02-09,27.1761,27.1761,26.5686,26.9412,134721
2007-02-12,26.7468,26.9736,26.1393,26.6658,172841
