filing_date,report_date,quarter,form_type,accession,num_holdings,total_value
2020-05-28,2020-03-31,2020_Q1,NPORT-P,0001145549-20-029696,34,302554493.19
2020-08-26,2020-06-30,2020_Q2,NPORT-P,0001145549-20-049929,41,1416018131.53
2020-11-27,2020-09-30,2020_Q3,NPORT-P,0001145549-20-071918,41,1881440160.52
2021-02-26,2020-12-31,2020_Q4,NPORT-P,0001145549-21-012645,54,20738815.240000002
2021-05-27,2021-03-31,2021_Q1,NPORT-P,0001145549-21-031235,55,19794519.28
2021-11-12,2021-06-30,2021_Q2,NPORT-P/A,0001145549-21-065252,55,17032985.21
2021-11-29,2021-09-30,2021_Q3,NPORT-P,0001145549-21-071668,52,4300138065.559999
2022-02-25,2021-12-31,2021_Q4,NPORT-P,0001145549-22-010476,52,3777073526.5800004
2022-05-31,2022-03-31,2022_Q1,NPORT-P,0001145549-22-035092,52,4149673884.2299995
2022-08-26,2022-06-30,2022_Q2,NPORT-P,0001145549-22-052690,52,2832801379.62
2022-11-29,2022-09-30,2022_Q3,NPORT-P,0001145549-22-073029,50,2197104913.72
2023-02-28,2022-12-31,2022_Q4,NPORT-P,0001145549-23-013794,48,2173975534.1
2023-05-30,2023-03-31,2023_Q1,NPORT-P,0001145549-23-034851,48,2017030010.25
2023-08-28,2023-06-30,2023_Q2,NPORT-P,0001145549-23-053082,52,2097248341.44
2023-11-29,2023-09-30,2023_Q3,NPORT-P,0001145549-23-074377,52,1438309789.23
2024-02-27,2023-12-31,2023_Q4,NPORT-P,0001145549-24-010826,51,1949905519.7800002
2024-05-30,2024-03-31,2024_Q1,NPORT-P,0001145549-24-035212,51,1440619966.5800002
2024-08-22,2024-06-30,2024_Q2,NPORT-P,0001145549-24-048752,52,1378857429.0800002
2024-11-29,2024-09-30,2024_Q3,NPORT-P,0001145549-24-077360,52,1413418113.41
2025-02-28,2024-12-31,2024_Q4,NPORT-P,0001145549-25-015227,51,1190181346.6299999
2025-05-30,2025-03-31,2025_Q1,NPORT-P,0001145549-25-038248,51,835918396.0
2025-08-26,2025-06-30,2025_Q2,NPORT-P,0001145549-25-054035,50,927661512.39
2025-11-26,2025-09-30,2025_Q3,NPORT-P,0000894189-25-016157,51,735519491.7000002
