name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Air Transport Services Group I,ATSG,00922R105,1824348.0,52413518.04,2.1364770862,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Alaska Air Group Inc,ALK,011659109,1799631.0,72075221.55,2.9379264183,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Allegiant Travel Co,ALGT,01748X102,595985.0,67399943.65,2.7473529846,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
American Airlines Group Inc,AAL,02376R102,17864691.0,226524281.88,9.2335709527,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Azul SA,AZUL,05501U106,1386157.0,9841714.7,0.4011674608,BR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Boeing Co/The,BA,097023105,420282.0,57460955.04,2.3422204497,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Booking Holdings Inc,BKNG,09857L108,25801.0,45125690.99,1.8394110604,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Controladora Vuela Cia de Avia,VLRS,21240E105,968296.0,9944399.92,0.4053531104,MX,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Delta Air Lines Inc,DAL,247361702,7520099.0,217857268.03,8.8802865866,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Embraer SA,ERJ,29082A107,1331051.0,11686627.78,0.4763697115,BR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Expedia Group Inc,EXPE,30212P303,453146.0,42971835.18,1.7516157023,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
First American Government Obli,FGXXX,31846V336,21948111.92,21948111.92,0.8946477923,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Frontier Group Holdings Inc,ULCC,35909R108,8631772.0,80879703.64,3.2968142576,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
General Dynamics Corp,GD,369550108,249601.0,55224221.25,2.2510468237,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,2780278.0,9480747.98,0.3864537542,BR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Airbus SE,AIR,N0280G100,246962.0,23926514.19,0.9752913224,FR,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
Hawaiian Holdings Inc,HA,419879101,5055405.0,72342845.55,2.9488352938,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
JetBlue Airways Corp,JBLU,477143101,8400096.0,70308803.52,2.8659237787,US,2022-06-30,2022-08-26,0001145549-22-052690,2022_Q2,NPORT-P
