name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Alaska Air Group Inc,ALK,011659109,353356.0,17590061.68,2.5032148062,US,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,362234.0,22012960.18,3.132630735,US,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Airbus SE,AIR,N/A,32664.0,7570148.05,1.0772962044,FR,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Latam Airlines Group SA,LTM,51817R205,76298.0,3452484.5,0.491317795,CL,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Norwegian Air Shuttle ASA,NAS,N/A,2181975.0,3477542.81,0.4948838048,NO,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,33041344.25,33041344.25,4.7020632245,US,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Air China Ltd,753,N/A,5435256.0,4064943.87,0.5784759523,CN,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Aeroports de Paris SA,ADP,N/A,28061.0,3699736.19,0.5265038053,FR,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Airports of Thailand PCL,AOT,N/A,6239813.0,7798562.77,1.1098015543,TH,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Air France-KLM,AF,N/A,240865.0,3230857.21,0.4597783539,FR,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Air Canada,AC,008911877,1607672.0,20285061.67,2.8867361377,CA,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
Aena SME SA,AENA,N/A,256993.0,7021106.09,0.9991628819,ES,2025-09-30,2025-11-26,0000894189-25-016157,2025_Q3,NPORT-P
