symbol,source_name,lag,lag_label,n_observations,coefficient,std_error,t_statistic,p_value,r_squared,r_squared_pct,correlation,significant_05,significant_10
ULCC,Frontier,47,t-47,7,27.92739896,6.364365546,4.388088453,0.007100578,0.793859659,79.38596587,0.890988024,TRUE,TRUE
ALGT,Allegiant Air,48,t-48,9,17.97802886,4.491495024,4.002682573,0.005172224,0.695935982,69.59359818,0.834227776,TRUE,TRUE
UAL,United,48,t-48,9,5.792300805,2.044688199,2.832852857,0.025302481,0.534111532,53.4111532,0.730829345,TRUE,TRUE
ULCC,Frontier,39,t-39,15,20.51042321,5.835360736,3.514850947,0.003804176,0.487263976,48.72639759,0.698042961,TRUE,TRUE
ALK,Alaska,48,t-48,9,4.06235952,1.921205491,2.11448465,0.072308,0.389767907,38.97679073,0.624313949,FALSE,TRUE
UPS,United Parcel Service,35,t-35,22,-16.01321329,4.65306907,-3.441430387,0.002582242,0.371927215,37.19272149,-0.609858356,TRUE,TRUE
DAL,Delta,45,t-45,12,-6.607522376,2.816027366,-2.346398496,0.040891015,0.35507113,35.50711296,-0.595878452,TRUE,TRUE
SKYW,SkyWest,44,t-44,13,2.998162627,1.351484701,2.218421432,0.048499119,0.309105708,30.91057077,0.555972758,TRUE,TRUE
AA,American,39,t-39,18,6.889300768,2.618312518,2.631198805,0.018151646,0.302017388,30.20173882,0.549561087,TRUE,TRUE
AA,American,36,t-36,21,-7.382777704,2.651855605,-2.784004411,0.011828431,0.289737696,28.97376964,-0.538272883,TRUE,TRUE
JBLU,JetBlue,47,t-47,10,6.891032329,3.911112561,1.761911022,0.116108385,0.279560345,27.95603447,0.528734664,FALSE,FALSE
UPS,United Parcel Service,46,t-46,11,-24.22908115,13.44908372,-1.801541402,0.105133851,0.265039222,26.50392222,-0.514819602,FALSE,FALSE
UPS,United Parcel Service,44,t-44,13,19.04578328,9.872219703,1.929230087,0.079890912,0.252815293,25.28152933,0.502807412,FALSE,TRUE
SKYW,SkyWest,13,t-13,44,-3.645912037,0.971399436,-3.753257312,0.000529858,0.251162576,25.11625762,-0.501161228,TRUE,TRUE
SKYW,SkyWest,43,t-43,14,-2.558957918,1.290895835,-1.9823117,0.070816409,0.246683509,24.66835088,-0.496672436,FALSE,TRUE
ALGT,Allegiant Air,44,t-44,13,-10.89309856,5.975892023,-1.822840593,0.095595677,0.231990947,23.19909468,-0.481654385,FALSE,TRUE
SKYW,SkyWest,25,t-25,32,2.806262526,0.961901462,2.917411646,0.006626939,0.221007672,22.10076722,0.470114531,TRUE,TRUE
ULCC,Frontier,48,t-48,6,-11.9822943,11.60183453,-1.03279307,0.360051882,0.210525515,21.05255146,-0.458830595,FALSE,FALSE
ALGT,Allegiant Air,31,t-31,26,5.518252528,2.359702877,2.338537017,0.028019831,0.185578091,18.55780914,0.430787757,TRUE,TRUE
ALGT,Allegiant Air,45,t-45,12,-10.20480011,6.844364179,-1.490978539,0.166820813,0.181871383,18.18713828,-0.426463812,FALSE,FALSE
SKYW,SkyWest,23,t-23,34,2.646816708,1.007945231,2.625952906,0.013145246,0.177285441,17.72854406,0.421052777,TRUE,TRUE
SKYW,SkyWest,9,t-9,48,-3.199787882,1.037561371,-3.083950474,0.003449451,0.171331687,17.13316869,-0.41392232,TRUE,TRUE
AA,American,47,t-47,10,3.528366448,2.763524144,1.276763387,0.237496817,0.169273482,16.92734819,0.411428587,FALSE,FALSE
UAL,United,47,t-47,10,3.174974708,2.500572096,1.269699327,0.239878303,0.167718842,16.77188418,0.409534909,FALSE,FALSE
ALGT,Allegiant Air,33,t-33,24,-5.308208144,2.556391183,-2.07644596,0.049740221,0.163867772,16.38677718,-0.404805845,TRUE,TRUE
SKYW,SkyWest,42,t-42,15,1.94813227,1.251604693,1.556507642,0.14358922,0.157087509,15.70875087,0.396342666,FALSE,FALSE
ALK,Alaska,36,t-36,21,-3.159581661,1.681877901,-1.87860347,0.075730809,0.156648202,15.6648202,-0.395788077,FALSE,TRUE
AA,American,35,t-35,22,-5.530684958,2.895827498,-1.909880669,0.07059641,0.154249791,15.42497909,-0.392746472,FALSE,TRUE
ALK,Alaska,44,t-44,13,-2.993792486,2.158708256,-1.386844413,0.192949723,0.148826682,14.88266818,-0.385780614,FALSE,FALSE
ALGT,Allegiant Air,3,t-3,54,-4.584378384,1.52241153,-3.011260946,0.004009435,0.14848592,14.84859198,-0.385338708,TRUE,TRUE
DAL,Delta,48,t-48,9,4.841005115,4.453217851,1.087080236,0.313009932,0.144436629,14.44366288,0.380048193,FALSE,FALSE
ALGT,Allegiant Air,34,t-34,23,-4.953218506,2.663527868,-1.859645835,0.077003065,0.141395154,14.13951536,-0.376025469,FALSE,TRUE
AA,American,37,t-37,20,-5.048026209,2.951429037,-1.710366791,0.104378297,0.139799522,13.97995217,-0.373897742,FALSE,FALSE
ULCC,Frontier,16,t-16,38,9.55764679,3.953906812,2.417266578,0.02082928,0.139644693,13.96446931,0.373690638,TRUE,TRUE
AA,American,48,t-48,9,3.173263594,2.994147728,1.059821987,0.324419169,0.138273034,13.82730343,0.371850823,FALSE,FALSE
AA,American,28,t-28,29,5.727141031,2.756760049,2.077489854,0.047394468,0.137819934,13.78199336,0.371241072,TRUE,TRUE
UPS,United Parcel Service,39,t-39,18,-12.98079807,8.270369328,-1.569554824,0.136081696,0.133425517,13.3425517,-0.365274577,FALSE,FALSE
SKYW,SkyWest,12,t-12,45,-2.763001136,1.093913438,-2.52579504,0.015308843,0.129195768,12.91957679,-0.359438128,TRUE,TRUE
ULCC,Frontier,44,t-44,10,-8.949012075,8.426295839,-1.062033929,0.319226059,0.123567752,12.35677517,-0.35152205,FALSE,FALSE
UPS,United Parcel Service,48,t-48,9,20.07282064,20.32701362,0.987494819,0.356296201,0.122273124,12.2273124,0.349675741,FALSE,FALSE
UAL,United,33,t-33,24,2.337628267,1.339061137,1.745721836,0.094811575,0.121670398,12.16703978,0.348812841,FALSE,TRUE
DAL,Delta,39,t-39,18,3.922784188,2.663643685,1.472713565,0.160226988,0.1193736,11.93736003,0.345504848,FALSE,FALSE
UAL,United,42,t-42,15,-2.204367588,1.664745524,-1.324146878,0.208264692,0.118845088,11.88450878,-0.344739159,FALSE,FALSE
ALK,Alaska,43,t-43,14,-2.784229893,2.244375038,-1.240536829,0.238484241,0.113667139,11.36671391,-0.337145576,FALSE,FALSE
ALGT,Allegiant Air,4,t-4,53,-3.997360041,1.583002147,-2.525176639,0.014715214,0.111134614,11.11346137,-0.333368585,TRUE,TRUE
JBLU,JetBlue,29,t-29,28,5.934441571,3.350093468,1.771425672,0.088212599,0.107692855,10.76928551,0.328165896,FALSE,TRUE
DAL,Delta,33,t-33,24,-2.727786531,1.696299905,-1.608080342,0.122075525,0.105178986,10.5178986,-0.324313099,FALSE,FALSE
DAL,Delta,40,t-40,17,3.915459996,2.95809533,1.323642263,0.205441834,0.104586069,10.45860688,0.323397694,FALSE,FALSE
JBLU,JetBlue,46,t-46,11,5.297644347,5.210263483,1.016770911,0.335815305,0.103033816,10.30338164,0.32098881,FALSE,FALSE
SKYW,SkyWest,19,t-19,38,-2.171455584,1.071525345,-2.02650884,0.050169993,0.102395215,10.23952152,-0.319992524,FALSE,TRUE
AA,American,43,t-43,14,3.271252219,2.811373034,1.163578145,0.267209812,0.101387061,10.13870607,0.318413349,FALSE,FALSE
AA,American,12,t-12,45,6.621134222,3.029566485,2.185505502,0.034345961,0.099974692,9.997469192,0.316187748,TRUE,TRUE
UPS,United Parcel Service,40,t-40,17,11.13042985,8.698456464,1.279586774,0.220129071,0.098413694,9.841369385,0.313709569,FALSE,FALSE
UAL,United,34,t-34,23,2.069262982,1.380809769,1.498586575,0.148863696,0.096609513,9.660951312,0.310820709,FALSE,FALSE
AA,American,24,t-24,33,4.977441182,2.765158766,1.8000562,0.081590909,0.094631518,9.463151806,0.307622363,FALSE,TRUE
ALK,Alaska,16,t-16,41,-3.030863496,1.511687953,-2.004953133,0.051944443,0.093441476,9.34414758,-0.305681985,FALSE,TRUE
UAL,United,22,t-22,35,-2.5399024,1.379381706,-1.841333975,0.074577126,0.09317019,9.317019002,-0.305237924,FALSE,TRUE
UPS,United Parcel Service,45,t-45,12,11.7233711,11.56845805,1.013390985,0.334764858,0.093131849,9.313184857,0.305175111,FALSE,FALSE
ULCC,Frontier,21,t-21,33,-7.997468849,4.51110936,-1.772838611,0.086082843,0.092052858,9.205285773,-0.303402139,FALSE,TRUE
ULCC,Frontier,41,t-41,13,-7.769330896,7.358454081,-1.055837382,0.313680424,0.092019122,9.201912216,-0.303346538,FALSE,FALSE
UPS,United Parcel Service,38,t-38,19,8.566968418,6.542981004,1.309337199,0.207841607,0.091606849,9.160684856,0.302666233,FALSE,FALSE
UPS,United Parcel Service,33,t-33,24,-6.606576088,4.512707743,-1.463993785,0.157339116,0.088773273,8.877327344,-0.297948441,FALSE,FALSE
AA,American,3,t-3,54,-6.201164912,2.778362671,-2.231949405,0.029952255,0.087424683,8.742468287,-0.295676653,TRUE,TRUE
JBLU,JetBlue,45,t-45,12,-4.495159607,4.653744306,-0.965923203,0.356861134,0.085338606,8.533860636,-0.292127723,FALSE,FALSE
SKYW,SkyWest,15,t-15,42,-2.1281012,1.105021375,-1.925846185,0.061252277,0.084854227,8.485422712,-0.291297489,FALSE,TRUE
DAL,Delta,44,t-44,13,-3.322352488,3.298430024,-1.007252682,0.335456642,0.084444053,8.444405267,-0.290592589,FALSE,FALSE
ALK,Alaska,31,t-31,26,2.469647612,1.682421339,1.467912677,0.15511247,0.082385271,8.238527132,0.287028346,FALSE,FALSE
ALGT,Allegiant Air,8,t-8,49,3.536810839,1.728631677,2.046017603,0.046372503,0.081783547,8.17835473,0.285978229,TRUE,TRUE
AA,American,33,t-33,24,4.282091033,3.071763718,1.394017062,0.177234057,0.081161949,8.116194941,0.284889363,FALSE,FALSE
UPS,United Parcel Service,17,t-17,40,3.427460881,1.881351124,1.821808187,0.076362523,0.08032591,8.032590989,0.28341826,FALSE,TRUE
ULCC,Frontier,15,t-15,39,7.06005225,4.011824876,1.759810677,0.086706287,0.077236171,7.723617091,0.277913963,FALSE,TRUE
LUV,Southwest,48,t-48,9,-5.095674031,6.723396893,-0.757901714,0.473247775,0.075836221,7.583622073,-0.27538377,FALSE,FALSE
UAL,United,19,t-19,38,-2.407072578,1.411385317,-1.705468059,0.096722858,0.074755188,7.475518803,-0.27341395,FALSE,TRUE
SKYW,SkyWest,33,t-33,24,1.310681241,0.983398057,1.332808451,0.196234479,0.074711899,7.47118985,0.273334774,FALSE,FALSE
UPS,United Parcel Service,36,t-36,21,7.047642426,5.708753981,1.234532518,0.232055661,0.074257713,7.425771292,0.272502684,FALSE,FALSE
SKYW,SkyWest,40,t-40,17,1.304005002,1.196523657,1.089828015,0.292987879,0.073371959,7.337195905,0.270872588,FALSE,FALSE
ALGT,Allegiant Air,23,t-23,34,-3.834538244,2.43971133,-1.571718013,0.12585251,0.071664525,7.166452544,-0.267702308,FALSE,FALSE
DAL,Delta,31,t-31,26,2.427953798,1.797875901,1.350456835,0.189467174,0.070622385,7.062238507,0.265748725,FALSE,FALSE
ALK,Alaska,10,t-10,47,-2.642255032,1.433139164,-1.843683501,0.071820206,0.070231967,7.023196744,-0.265013146,FALSE,TRUE
UAL,United,43,t-43,14,-1.664330307,1.761698708,-0.94473039,0.363430671,0.069227414,6.922741405,-0.26311103,FALSE,FALSE
JBLU,JetBlue,18,t-18,39,-4.406370292,2.693882127,-1.635695284,0.110383405,0.067434541,6.743454087,-0.259681614,FALSE,FALSE
ALGT,Allegiant Air,22,t-22,35,-3.657385672,2.40741784,-1.519215157,0.138232178,0.065368011,6.536801102,-0.255671686,FALSE,FALSE
UPS,United Parcel Service,41,t-41,16,9.10424727,9.329280281,0.975878845,0.345686459,0.063691673,6.369167311,0.252372093,FALSE,FALSE
ALGT,Allegiant Air,28,t-28,29,3.42328095,2.576427461,1.328692929,0.195070236,0.061373156,6.137315565,0.24773606,FALSE,FALSE
UPS,United Parcel Service,20,t-20,37,2.787962612,1.847145041,1.509336057,0.140188458,0.06111083,6.11108296,0.247206047,FALSE,FALSE
AA,American,32,t-32,25,-3.783666368,3.101480835,-1.21995478,0.234844037,0.060775566,6.077556598,-0.246527009,FALSE,FALSE
AA,American,31,t-31,26,-3.733854123,3.013316436,-1.23911783,0.227283506,0.060128771,6.012877085,-0.245211686,FALSE,FALSE
LUV,Southwest,22,t-22,35,2.47350621,1.706946414,1.449082519,0.15675146,0.059824778,5.982477808,0.244591043,FALSE,FALSE
ALGT,Allegiant Air,30,t-30,27,3.264812991,2.612340959,1.249765265,0.222958995,0.058802738,5.880273776,0.242492758,FALSE,FALSE
DAL,Delta,12,t-12,45,-1.491111208,0.911833801,-1.635288368,0.109289054,0.058548807,5.85488069,-0.241968607,FALSE,FALSE
AA,American,44,t-44,13,2.365445016,2.86125545,0.826715775,0.425967703,0.058497999,5.849799908,0.241863596,FALSE,FALSE
JBLU,JetBlue,38,t-38,19,3.967310346,3.862207111,1.027213257,0.318715003,0.05844128,5.844128004,0.241746313,FALSE,FALSE
JBLU,JetBlue,26,t-26,31,4.366066548,3.263548843,1.337827855,0.191349833,0.058129132,5.812913159,0.241099837,FALSE,FALSE
ULCC,Frontier,20,t-20,34,-5.958327329,4.288614201,-1.389336287,0.174323088,0.056888912,5.688891226,-0.238513967,FALSE,FALSE
UAL,United,6,t-6,51,-2.186518929,1.27325094,-1.717272582,0.092244492,0.05676767,5.676767009,-0.238259669,FALSE,TRUE
UPS,United Parcel Service,23,t-23,34,-2.482835163,1.800267731,-1.379147735,0.177412912,0.056104234,5.610423444,-0.236863324,FALSE,FALSE
