quarter,ticker,name,weight,value_usd,emp_symbol,total_employees,emp_pct_change,price_return
2025_Q3,ALK,Alaska Air Group Inc,2.5032148062,17590061.68,ALK,21544.0,1.7522316157370321,0.6063055780113347
2025_Q3,ALGT,Allegiant Travel Co,3.132630735,22012960.18,ALGT,6377.0,-2.027961284375479,10.591446769790714
2025_Q3,SKYW,SkyWest Inc,2.9215215838,20529498.6,SKYW,15477.0,3.5597189695550258,-2.2822181217830417
2025_Q3,LUV,Southwest Airlines Co,11.5077084486,80864535.04,LUV,73488.0,0.025861247601022264,-1.6337854500616422
2025_Q3,UAL,United Airlines Holdings Inc,10.1947534712,71638415.5,UAL,111039.0,0.5332729741964748,21.185482858219263
2025_Q3,AAL,American Airlines Group Inc,9.8705068359,69359938.12,AA,107780.0,-1.6336588482248837,11.45374449339207
2025_Q3,DAL,Delta Air Lines Inc,10.4588636227,73494314.5,DAL,104467.0,-1.9402256556592223,15.392435949573002
2025_Q3,ULCC,Frontier Group Holdings Inc,2.7280723547,19170133.09,ULCC,7559.0,-2.99024640657084,21.763085399449047
2025_Q3,JBLU,JetBlue Airways Corp,3.0040069386,21109122.24,JBLU,21883.0,-0.9236202290940354,16.31205673758864
2025_Q2,ULCC,Frontier Group Holdings Inc,2.7658037334,22523649.06,ULCC,7792.0,-1.777385604437165,-16.359447004608295
2025_Q2,JBLU,JetBlue Airways Corp,2.6082513174,21240602.37,JBLU,22087.0,-1.2871508379888263,-12.240663900414939
2025_Q2,SKYW,SkyWest Inc,3.039717349,24754296.91,SKYW,14945.0,1.5561293829845058,17.85509900423485
2025_Q2,LUV,Southwest Airlines Co,10.5844009861,86195318.36,LUV,73469.0,0.9355937791943658,-3.394877903513993
2025_Q2,UAL,United Airlines Holdings Inc,10.7835655,87817238.08,UAL,110450.0,1.4494084796825568,15.322230267921789
2025_Q2,ALK,Alaska Air Group Inc,2.9106833066,23703492.96,ALK,21173.0,2.7516257400757027,0.5282405526208844
2025_Q2,ALGT,Allegiant Travel Co,2.9025068904,23636907.35,ALGT,6509.0,-0.8076805851874425,6.389157792836397
2025_Q2,AAL,American Airlines Group Inc,10.6339066137,86598473.28,AA,109570.0,0.7503172297110838,-3.245901639344262
2025_Q2,DAL,Delta Air Lines Inc,10.6660323569,86860093.06,DAL,106534.0,1.1843817375364551,12.79816513761467
2025_Q1,ALK,Alaska Air Group Inc,2.8591599949,21044503.2,ALK,20606.0,1.7077986179664384,-23.98455598455599
2025_Q1,ALGT,Allegiant Travel Co,2.89393494,21300460.0,ALGT,6562.0,1.484689143210649,-45.12324691882703
2025_Q1,AAL,American Airlines Group Inc,10.29323871,75762145.3,AA,108754.0,1.101618496035095,-19.269454737956593
2025_Q1,DAL,Delta Air Lines Inc,10.6639446803,78490682.0,DAL,105287.0,0.3536162263143794,-27.933884297520663
2025_Q1,ULCC,Frontier Group Holdings Inc,2.2987923773,16919984.76,ULCC,7933.0,-0.06298815822625148,-38.959212376933905
2025_Q1,JBLU,JetBlue Airways Corp,2.6260703353,19328874.8,JBLU,22375.0,-0.2896613190730868,-38.67684478371501
2025_Q1,SKYW,SkyWest Inc,3.2058625133,23596365.38,SKYW,14716.0,0.7255304585900069,-12.743433536402671
2025_Q1,LUV,Southwest Airlines Co,12.1561997324,89474245.8,LUV,72788.0,-1.2280677947701935,-0.11897679952409534
2025_Q1,UAL,United Airlines Holdings Inc,10.2484989801,75432843.9,UAL,108872.0,1.9505754337993508,-28.88774459320288
2024_Q4,ALK,Alaska Air Group Inc,3.1527776201,34002232.25,ALK,20260.0,0.14334437249765575,43.22052643220526
2024_Q4,AAL,American Airlines Group Inc,10.6741193046,115118770.62,AA,107569.0,0.25910840611047536,-2.07361327112493
2024_Q4,DAL,Delta Air Lines Inc,10.330133456,111408935.0,DAL,104916.0,0.21396095212624644,19.117936601693252
2024_Q4,UAL,United Airlines Holdings Inc,10.7841835921,116305797.4,UAL,106789.0,0.8737625632887491,70.17174903610233
2024_Q4,LUV,Southwest Airlines Co,10.778691204,116246562.82,LUV,73693.0,-1.2819825853985223,13.466081673979069
2024_Q4,JBLU,JetBlue Airways Corp,3.4734046866,37460146.92,JBLU,22440.0,-0.620017714791854,19.817073170731714
2024_Q4,SKYW,SkyWest Inc,2.8060744697,30263090.94,SKYW,14610.0,1.6418533463197438,17.7722888732063
2024_Q4,ALGT,Allegiant Travel Co,3.408596591,36761201.36,ALGT,6466.0,3.1095519055971854,70.94079186342172
2024_Q4,ULCC,Frontier Group Holdings Inc,3.5387329583,38164702.5,ULCC,7938.0,-1.2318029115341522,32.89719626168226
2024_Q3,ALK,Alaska Air Group Inc,3.1071182281,34215199.26,ALK,20231.0,-0.5945361635220081,11.905940594059405
2024_Q3,ALGT,Allegiant Travel Co,3.7071868946,40823080.74,ALGT,6271.0,-3.4190666872015996,9.61576746963968
2024_Q3,AAL,American Airlines Group Inc,9.2764609095,102151233.12,AA,107291.0,-1.468454403526498,-3.016591251885381
2024_Q3,DAL,Delta Air Lines Inc,10.5663119789,116354912.58,DAL,104692.0,-1.5108468644753459,7.061551433389557
2024_Q3,UAL,United Airlines Holdings Inc,10.6528368743,117307713.96,UAL,105864.0,0.2509493461112289,17.262638717632562
2024_Q3,JBLU,JetBlue Airways Corp,3.0701939259,33808593.44,JBLU,22580.0,-1.5950492460559573,7.7175697865353055
2024_Q3,ULCC,Frontier Group Holdings Inc,3.6753506431,40472503.9,ULCC,8037.0,-1.1195866141732291,8.519269776876271
2024_Q3,SKYW,SkyWest Inc,3.0964708048,34097951.16,SKYW,14374.0,2.7595081498427154,3.5944925063969846
2024_Q3,LUV,Southwest Airlines Co,9.1509193891,100768785.52,LUV,74650.0,-0.7524994681982533,3.5651869975533046
2024_Q2,ALK,Alaska Air Group Inc,3.0126907214,34733576.8,ALK,20352.0,1.2990891443930064,-6.024656896952784
