filing_date,report_date,quarter,form_type,accession,num_holdings,total_value,total_industry_emp,industry_emp_change,industry_emp_pct_change,aum_pct_change
2021-05-27,2021-03-31,2021_Q1,NPORT-P,0001145549-21-031235,55,19794519.28,350093.0,0.0,,
2021-11-12,2021-06-30,2021_Q2,NPORT-P/A,0001145549-21-065252,55,17032985.21,360891.0,5620.0,3.0843233083780675,-13.951003461802692
2021-11-29,2021-09-30,2021_Q3,NPORT-P,0001145549-21-071668,52,4300138065.559999,370920.0,10029.0,2.7789554186721244,25145.944927113567
2022-02-25,2021-12-31,2021_Q4,NPORT-P,0001145549-22-010476,52,3777073526.58,383517.0,12597.0,3.396150113231955,-12.16390104236994
2022-05-31,2022-03-31,2022_Q1,NPORT-P,0001145549-22-035092,52,4149673884.23,400504.0,16987.0,4.42926910671495,9.864789632183202
2022-08-26,2022-06-30,2022_Q2,NPORT-P,0001145549-22-052690,52,2832801379.62,418805.0,18301.0,4.5694924395262015,-31.734361334140225
2022-11-29,2022-09-30,2022_Q3,NPORT-P,0001145549-22-073029,50,2197104913.72,426743.0,7938.0,1.89539284392497,-22.44055903366138
2023-02-28,2022-12-31,2022_Q4,NPORT-P,0001145549-23-013794,48,2173975534.1,431634.0,4891.0,1.1461230764183705,-1.052720763381243
2023-05-30,2023-03-31,2023_Q1,NPORT-P,0001145549-23-034851,48,2017030010.25,444342.0,12708.0,2.944161025313119,-7.219286573755001
2023-08-28,2023-06-30,2023_Q2,NPORT-P,0001145549-23-053082,52,2097248341.44,455673.0,11331.0,2.5500627894729844,3.9770519418329098
2023-11-29,2023-09-30,2023_Q3,NPORT-P,0001145549-23-074377,52,1438309789.23,462674.0,7001.0,1.5364087843694918,-31.41919529460987
2024-02-27,2023-12-31,2023_Q4,NPORT-P,0001145549-24-010826,51,1949905519.78,464271.0,1597.0,0.34516743970915975,35.56923093903735
2024-05-30,2024-03-31,2024_Q1,NPORT-P,0001145549-24-035212,51,1440619966.5800002,469743.0,5472.0,1.1786219686346966,-26.118473332875148
2024-08-22,2024-06-30,2024_Q2,NPORT-P,0001145549-24-048752,52,1378857429.0800002,474595.0,4852.0,1.032905226900671,-4.287219317570812
2024-11-29,2024-09-30,2024_Q3,NPORT-P,0001145549-24-077360,52,1413418113.41,470884.0,-3711.0,-0.7819298559824661,2.5064726491019096
2025-02-28,2024-12-31,2024_Q4,NPORT-P,0001145549-25-015227,51,1190181346.63,471690.0,806.0,0.1711674212757197,-15.794106829536869
2025-05-30,2025-03-31,2025_Q1,NPORT-P,0001145549-25-038248,51,835918396.0,474911.0,3221.0,0.6828637452564124,-29.76545982955422
2025-08-26,2025-06-30,2025_Q2,NPORT-P,0001145549-25-054035,50,927661512.39,479615.0,4704.0,0.9905013781529526,10.97512829350391
2025-11-26,2025-09-30,2025_Q3,NPORT-P,0000894189-25-016157,51,735519491.7000002,476766.0,-2849.0,-0.5940181186993687,-20.712514006856953
