symbol,date,open,high,low,close,volume,vwap,change,changePercent
JETS,2021-01-19,22.56,22.68,22.345,22.46,4454251,22.51,-0.1,-0.44326
JETS,2021-01-20,22.71,22.85,22.5,22.8,3934936,22.7,0.09,0.3963
JETS,2021-01-21,22.67,22.67,22.07,22.38,6078163,22.34,-0.29,-1.28
JETS,2021-01-22,22.11,22.25,21.89,22.25,5656931,22.06,0.14,0.6332
JETS,2021-01-25,21.9,22.0,21.331,21.7,10298760,21.64,-0.2,-0.91324
JETS,2021-01-26,21.79,21.975,21.685,21.74,9687884,21.81,-0.05,-0.22946
JETS,2021-01-27,21.33,21.79,21.26,21.38,6027094,21.52,0.05,0.23441
JETS,2021-01-28,22.38,22.78,21.73,22.07,8842602,22.27,-0.31,-1.39
JETS,2021-01-29,22.0,22.07,21.14,21.38,6089845,21.55,-0.62,-2.82
JETS,2021-02-01,21.57,21.64,21.21,21.52,3109196,21.43,-0.05,-0.2318
JETS,2021-02-02,21.81,21.945,21.68,21.83,4505365,21.83,0.02,0.09170105
JETS,2021-02-03,21.93,22.45,21.86,22.38,3137960,22.25,0.45,2.05
JETS,2021-02-04,22.33,23.0,22.31,22.89,4844216,22.78,0.56,2.51
JETS,2021-02-05,23.16,23.21,22.85,23.05,4471867,23.07,-0.11,-0.47496
JETS,2021-02-08,23.2,23.86,23.18,23.7,4832266,23.62,0.5,2.16
JETS,2021-02-09,23.66,23.67,23.3103,23.49,3297651,23.48,-0.17,-0.71851
JETS,2021-02-10,23.66,23.71,23.35,23.55,3125230,23.57,-0.11,-0.46492
JETS,2021-02-11,23.52,23.56,23.07,23.42,3118533,23.33,-0.1,-0.42517
JETS,2021-02-12,23.34,23.66,23.27,23.56,3179886,23.52,0.22,0.94259
JETS,2021-02-16,24.0,24.05,23.72,23.99,6363537,23.91,-0.01,-0.04166667
JETS,2021-02-17,23.93,24.36,23.74,24.36,8384749,24.13,0.43,1.8
JETS,2021-02-18,24.08,24.15,23.67,24.11,3870726,23.94,0.03,0.12458
JETS,2021-02-19,24.31,24.97,24.3,24.82,6646750,24.79,0.51,2.1
JETS,2021-02-22,25.31,26.2098,25.0,25.68,12668915,25.75,0.37,1.46
JETS,2021-02-23,26.2,26.555,25.11,26.42,14645398,26.04,0.22,0.83969
JETS,2021-02-24,26.46,27.325,26.44,27.02,10672941,26.96,0.56,2.12
JETS,2021-02-25,27.23,27.24,25.64,26.07,10025785,26.38,-1.16,-4.26
JETS,2021-02-26,25.88,26.47,25.63,26.11,8704375,26.08,0.23,0.88872
JETS,2021-03-01,26.83,26.93,26.13,26.24,10068029,26.54,-0.59,-2.2
JETS,2021-03-02,26.34,26.4,25.97,26.23,4826800,26.23,-0.11,-0.41762
JETS,2021-03-03,26.5,26.88,26.3411,26.55,6817637,26.62,0.05,0.18868
JETS,2021-03-04,26.61,26.64,25.05,25.8,10482461,25.89,-0.81,-3.04
JETS,2021-03-05,26.02,26.13,24.12,25.71,10674991,25.19,-0.31,-1.19
JETS,2021-03-08,25.77,26.84,25.77,26.64,11793713,26.48,0.87,3.38
JETS,2021-03-09,26.87,26.87,26.14,26.57,6558648,26.53,-0.3,-1.12
JETS,2021-03-10,26.7,26.97,26.3,26.63,5973449,26.64,-0.07,-0.26217
JETS,2021-03-11,26.9,27.25,26.67,26.96,8493569,27.0,0.06,0.22305
JETS,2021-03-12,26.97,27.72,26.9,27.68,7047375,27.46,0.71,2.63
JETS,2021-03-15,28.34,28.88,28.16,28.71,15119931,28.6,0.37,1.31
JETS,2021-03-16,28.75,28.77,27.835,27.96,8657226,28.17,-0.79,-2.75
JETS,2021-03-17,27.84,28.56,27.73,28.56,7709641,28.18,0.72,2.59
JETS,2021-03-18,28.48,28.98,27.965,28.09,8185500,28.54,-0.39,-1.37
JETS,2021-03-19,28.09,28.15,27.34,28.06,5956095,27.85,-0.03,-0.1068
JETS,2021-03-22,27.79,27.82,27.0,27.02,9400027,27.26,-0.77,-2.77
JETS,2021-03-23,26.69,26.939,25.81,25.95,8620143,26.28,-0.74,-2.77
JETS,2021-03-24,26.3,26.64,25.59,25.63,6572196,26.2,-0.67,-2.55
JETS,2021-03-25,25.19,26.38,25.0,26.26,11336885,25.8,1.07,4.25
JETS,2021-03-26,26.76,26.85,26.1501,26.67,7969551,26.52,-0.09,-0.33632
JETS,2021-03-29,26.71,26.78,26.11,26.44,4623015,26.42,-0.27,-1.01
JETS,2021-03-30,26.49,27.21,26.49,27.09,4610931,26.98,0.6,2.27
JETS,2021-03-31,27.09,27.098,26.74,26.91,4836391,26.91,-0.18,-0.66445
JETS,2021-04-01,26.93,27.15,26.82,27.05,3938074,26.99,0.12,0.4456
JETS,2021-04-05,27.52,27.985,27.5,27.61,5343518,27.73,0.09,0.32703
JETS,2021-04-06,27.72,28.05,27.6505,27.84,4419828,27.85,0.12,0.4329
JETS,2021-04-07,27.92,28.025,27.46,27.57,3626428,27.71,-0.35,-1.25
JETS,2021-04-08,27.48,27.52,26.965,27.49,6245407,27.26,0.01,0.0363901
JETS,2021-04-09,27.3,27.39,27.1,27.3,3339044,27.23,0.0,0.0
JETS,2021-04-12,27.052,27.095,26.65,26.78,5308312,26.77,-0.272,-1.01
JETS,2021-04-13,26.51,26.83,25.95,26.81,6168747,26.38,0.3,1.13
JETS,2021-04-14,27.01,27.3599,26.715,26.83,6619503,27.1,-0.18,-0.66642
JETS,2021-04-15,27.02,27.12,26.39,26.58,4207100,26.58,-0.44,-1.63
JETS,2021-04-16,26.65,26.79,26.36,26.44,4174297,26.48,-0.21,-0.78799
JETS,2021-04-19,26.38,26.3814,26.04,26.11,3354280,26.16,-0.27,-1.02
JETS,2021-04-20,25.85,25.93,24.82,25.04,7447297,25.16,-0.81,-3.13
JETS,2021-04-21,24.85,25.66,24.57,25.63,4457185,25.32,0.78,3.14
JETS,2021-04-22,25.97,26.0,25.27,25.33,3644324,25.61,-0.64,-2.46
JETS,2021-04-23,25.43,26.0,25.34,25.95,3170430,25.78,0.52,2.04
JETS,2021-04-26,26.23,26.5,26.15,26.33,4444428,26.27,0.1,0.38124
JETS,2021-04-27,26.3,26.34,26.055,26.2,2485771,26.21,-0.1,-0.38023
JETS,2021-04-28,26.12,26.255,26.0101,26.08,2370031,26.11,-0.04,-0.15314
JETS,2021-04-29,26.29,26.3819,25.88,26.04,2631104,26.09,-0.25,-0.95093
JETS,2021-04-30,25.83,26.34,25.81,26.08,2798700,26.09,0.25,0.96787
JETS,2021-05-03,26.34,26.34,25.97,26.16,4683159,26.15,-0.18,-0.68337
JETS,2021-05-04,25.94,26.09,25.365,25.59,3476152,25.56,-0.35,-1.35
JETS,2021-05-05,25.64,26.015,25.563,25.73,2728956,25.81,0.09,0.35101
JETS,2021-05-06,25.71,25.795,25.305,25.62,3821104,25.49,-0.09,-0.35006
JETS,2021-05-07,25.62,26.24,25.52,26.17,3226420,26.02,0.55,2.15
JETS,2021-05-10,26.25,26.42,25.92,25.93,3759283,26.16,-0.32,-1.22
JETS,2021-05-11,25.24,25.65,25.0,25.53,6540887,25.37,0.29,1.15
JETS,2021-05-12,25.27,25.61,24.7445,24.78,5864705,25.06,-0.49,-1.94
JETS,2021-05-13,25.1,25.4514,24.851,25.29,4432461,25.2,0.19,0.75697
JETS,2021-05-14,25.53,26.3,25.5,26.28,3698151,26.04,0.75,2.94
JETS,2021-05-17,26.2,26.6,25.85,26.55,7085792,26.27,0.35,1.34
