symbol,date,open,high,low,close,volume,vwap,change,changePercent
JETS,2021-01-29,22.0,22.07,21.14,21.38,6089845,21.55,-0.62,-2.82
JETS,2021-02-26,25.88,26.47,25.63,26.11,8704375,26.08,0.23,0.88872
JETS,2021-03-31,27.09,27.098,26.74,26.91,4836391,26.91,-0.18,-0.66445
JETS,2021-04-30,25.83,26.34,25.81,26.08,2798700,26.09,0.25,0.96787
JETS,2021-05-28,27.09,27.1,26.74,26.85,2642740,26.89,-0.24,-0.88594
JETS,2021-06-30,24.1,24.36,24.02,24.18,3015225,24.22,0.08,0.33195
JETS,2021-07-30,23.2,23.44,22.8,22.89,5274691,23.02,-0.31,-1.34
JETS,2021-08-31,22.69,23.13,22.69,22.98,4124067,22.98,0.29,1.28
JETS,2021-09-30,23.98,23.99,23.55,23.63,7463205,23.72,-0.35,-1.46
JETS,2021-10-29,22.34,22.44,22.09,22.22,3661253,22.21,-0.12,-0.53715
JETS,2021-11-30,20.24,20.425,19.78,20.29,16581317,20.09,0.05,0.24704
JETS,2021-12-31,21.12,21.325,21.05,21.09,4180619,21.14,-0.03,-0.14205
JETS,2022-01-31,20.38,21.2499,20.21,21.22,7891666,20.95,0.84,4.12
JETS,2022-02-28,21.4,21.7155,21.05,21.48,14140550,21.33,0.08,0.37383
JETS,2022-03-31,21.78,21.9806,21.64,21.76,4167795,21.82,-0.02,-0.09182736
JETS,2022-04-29,21.84,22.2,21.4,21.46,5545780,21.82,-0.38,-1.74
JETS,2022-05-31,20.28,20.725,20.09,20.48,5939715,20.47,0.2,0.98619
JETS,2022-06-30,16.33,16.59,16.0199,16.5,5051377,16.33,0.17,1.04
JETS,2022-07-29,17.49,17.775,17.44,17.7,4723677,17.68,0.21,1.2
JETS,2022-08-31,17.57,17.62,17.17,17.17,5404718,17.35,-0.4,-2.28
JETS,2022-09-30,15.13,15.3401,15.0,15.01,6938518,15.18,-0.12,-0.79313
JETS,2022-10-31,17.605,17.85,17.53,17.74,3352926,17.73,0.135,0.76683
JETS,2022-11-30,18.4,18.77,18.26,18.74,2858433,18.56,0.34,1.85
JETS,2022-12-30,16.86,17.1,16.82,17.08,3474821,17.0,0.22,1.3
JETS,2023-01-31,20.04,20.22,19.92,20.2,1977708,20.12,0.16,0.7984
JETS,2023-02-28,19.65,19.86,19.475,19.76,3465390,19.73,0.11,0.5598
JETS,2023-03-31,18.4,18.64,18.37,18.63,2037969,18.56,0.23,1.25
JETS,2023-04-28,17.63,18.115,17.61,18.07,2715994,18.02,0.44,2.5
JETS,2023-05-31,18.52,18.52,18.065,18.28,1753188,18.22,-0.24,-1.3
JETS,2023-06-30,21.28,21.47,21.19,21.42,2554137,21.35,0.14,0.65789
JETS,2023-07-31,21.23,21.44,21.22,21.39,1988807,21.36,0.16,0.75365
JETS,2023-08-31,19.38,19.42,19.21,19.25,1933700,19.3,-0.13,-0.67079
JETS,2023-09-29,17.28,17.2812,16.92,17.03,4756079,17.08,-0.25,-1.45
JETS,2023-10-31,14.91,14.97,14.69,14.92,5501957,14.87,0.01,0.06706908
JETS,2023-11-30,16.83,16.87,16.54,16.86,4705220,16.75,0.03,0.17825
JETS,2023-12-29,19.19,19.27,19.0,19.03,3455655,19.1225,-0.16,-0.83377
JETS,2024-01-31,18.86,19.13,18.67,18.75,4657506,18.8525,-0.11,-0.58324
JETS,2024-02-29,20.17,20.36,20.05,20.16,2018037,20.185,-0.01,-0.04957858
JETS,2024-03-28,20.94,21.16,20.9,21.01,2031009,21.0025,0.07,0.33429
JETS,2024-04-30,20.34,20.46,20.1,20.1,1880433,20.25,-0.24,-1.18
JETS,2024-05-31,19.67,20.05,19.67,20.03,3195632,19.855,0.36,1.83
JETS,2024-06-28,19.66,19.72,19.53,19.66,3162383,19.6425,0.0,0.0
JETS,2024-07-31,19.16,19.53,19.01,19.06,3443508,19.19,-0.1,-0.52192
JETS,2024-08-30,18.53,18.8,18.53,18.7,1380818,18.64,0.17,0.91743
JETS,2024-09-30,20.7,20.9,20.63,20.72,2219762,20.7375,0.02,0.09661836
JETS,2024-10-31,22.87,23.14,22.71,22.74,4037454,22.865,-0.13,-0.56843
JETS,2024-11-29,24.49,24.67,24.49,24.55,611200,24.55,0.06,0.245
JETS,2024-12-31,25.37,25.59,25.28,25.35,699736,25.3975,-0.02,-0.07883327
JETS,2025-01-31,26.33,26.64,26.0,26.03,1550000,26.25,-0.3,-1.14
JETS,2025-02-28,24.26,24.59,24.09,24.44,2668403,24.345,0.18,0.74196
JETS,2025-03-31,20.64,20.95,20.17,20.77,3183112,20.6325,0.135,0.62984
JETS,2025-04-30,19.32,19.9,19.09,19.82,1678323,19.5325,0.5,2.59
JETS,2025-05-30,22.61,22.82,22.42,22.72,4733300,22.6425,0.11,0.48651
JETS,2025-06-30,22.94,23.03,22.86,22.97,1280014,22.95,0.03,0.13078
JETS,2025-07-31,24.02,24.2,23.87,23.95,2233700,24.01,-0.07,-0.29142
JETS,2025-08-29,26.22,26.35,26.06,26.31,1369918,26.235,0.09,0.34325
JETS,2025-09-30,24.99,25.09,24.38,24.65,2807400,24.7775,-0.34,-1.36
JETS,2025-10-31,24.19,24.64,24.12,24.63,3901231,24.395,0.44,1.82
JETS,2025-11-28,26.26,26.46,26.24,26.31,1708727,26.3175,0.05,0.1904
JETS,2025-12-31,28.14,28.16,28.01,28.07,2346000,28.095,-0.07,-0.24876
JETS,2026-01-16,29.02,29.09,28.78,29.01,5591747,28.975,-0.01,-0.03445899
