query,company,cik,form,filed,file_num,accession
"""US Global Jets""",Anson Funds Management LP  (CIK 0001491072),0001491072,13F-HR,2025-11-14,['028-16678'],0001193125-25-280566
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2025-11-13,['028-21947'],0001869164-25-000008
"""U S Global Jets""","RPg Family Wealth Advisory, LLC  (CIK 0001569884)",0001569884,13F-HR,2025-11-12,['028-17150'],0001569884-25-000013
"""U S Global Jets""","Strengthening Families & Communities, LLC  (CIK 0001921196)",0001921196,13F-HR,2025-11-04,['028-22399'],0001921196-25-000006
"""JETS""",MIRAE ASSET SECURITIES (USA) INC.  (CIK 0000890203),0000890203,13F-HR,2025-10-24,['028-24253'],0000890203-25-000013
"""JETS""","Slocum, Gordon & Co LLP  (CIK 0001993325)",0001993325,13F-HR,2025-08-19,['028-23401'],0001993325-25-000006
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2025-08-14,['028-21947'],0001869164-25-000006
"""U S Global Jets""","RPg Family Wealth Advisory, LLC  (CIK 0001569884)",0001569884,13F-HR,2025-08-13,['028-17150'],0001569884-25-000010
"""JETS""",400 Capital Management LLC  (CIK 0001909739),0001909739,13F-HR,2025-08-01,['028-22007'],0001420506-25-001648
"""U S Global Jets""","NBC SECURITIES, INC.  (CIK 0000791540)",0000791540,13F-HR,2025-07-08,['028-23420'],0000791540-25-000003
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2025-05-15,['028-21947'],0001869164-25-000003
"""U S Global Jets""","RPg Family Wealth Advisory, LLC  (CIK 0001569884)",0001569884,13F-HR,2025-05-14,['028-17150'],0001569884-25-000006
"""U S Global Jets""","Strengthening Families & Communities, LLC  (CIK 0001921196)",0001921196,13F-HR,2025-05-12,['028-22399'],0001921196-25-000002
"""JETS""",Fullerton Fund Management Co Ltd.  (CIK 0001592746),0001592746,13F-HR,2025-02-14,['028-17851'],0001104659-25-013408
"""US Global Jets""","Pinnacle Holdings, LLC  (CIK 0001411784)",0001411784,13F-HR,2025-02-13,['028-12706'],0001411784-25-000002
"""US Global Jets""","SIMS INVESTMENT MANAGEMENT, LLC  (CIK 0002053807)",0002053807,13F-HR,2025-02-05,['028-24768'],0002053807-25-000001
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2024-11-15,['028-21947'],0001869164-24-000010
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2024-08-30,['028-21947'],0001869164-24-000009
"""US Global Jets""",Ayalon Insurance Comp Ltd.  (CIK 0001642216),0001642216,13F-HR,2024-07-23,['028-16935'],0001178913-24-002256
"""U S Global Jets""",VIMA LLC  (CIK 0002012155),0002012155,13F-HR/A,2024-05-17,['028-23975'],0002012155-24-000004
"""U S Global Jets""",VIMA LLC  (CIK 0002012155),0002012155,13F-HR,2024-05-17,['028-23975'],0002012155-24-000003
"""JETS""",Polus Capital Management Ltd  (CIK 0001890538),0001890538,13F-HR,2024-05-15,['028-22909'],0000902664-24-003584
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2024-05-15,['028-21947'],0001869164-24-000004
"""JETS""",Constant Guidance Financial LLC  (CIK 0001995383),0001995383,13F-HR,2024-05-01,['028-23392'],0001995383-24-000002
"""JETS""","Marks Wealth, LLC  (CIK 0001838660)",0001838660,13F-HR,2024-04-30,['028-21120'],0001838660-24-000003
"""US Global Jets""",Ayalon Insurance Comp Ltd.  (CIK 0001642216),0001642216,13F-HR,2024-04-15,['028-16935'],0001178913-24-001308
"""U S Global Jets""",VIMA LLC  (CIK 0002012155),0002012155,13F-HR/A,2024-03-04,['028-23975'],0002012155-24-000002
"""JETS""",Gordian Capital Singapore Pte Ltd  (CIK 0001869164),0001869164,13F-HR,2024-02-23,['028-21947'],0001869164-24-000002
"""U S Global Jets""",VIMA LLC  (CIK 0002012155),0002012155,13F-HR,2024-02-16,['028-23975'],0002012155-24-000001
"""U S Global Jets""","M Holdings Securities, Inc.  (CIK 0001569638)",0001569638,13F-HR,2024-02-14,['028-15330'],0001569638-24-000001
"""JETS""",Clal Insurance Enterprises Holdings Ltd  (CIK 0001376192),0001376192,13F-HR,2024-02-14,['028-16398'],0001178913-24-000511
"""US Global Jets""",Ayalon Insurance Comp Ltd.  (CIK 0001642216),0001642216,13F-HR,2024-01-16,['028-16935'],0001178913-24-000149
