symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
AA,2021-01-19,23.89,24.22,22.86,23.09,5737725,23.515,-0.8,-3.35,NASDAQ,,American
AA,2021-01-20,23.5,23.74,22.64,22.84,5578332,23.18,-0.66,-2.81,NASDAQ,,American
AA,2021-01-21,20.93,21.7,20.0,20.01,22833827,20.66,-0.92,-4.4,NASDAQ,,American
AA,2021-01-22,19.4,20.04,19.17,19.4,11183400,19.5025,0.0,0.0,NASDAQ,,American
AA,2021-01-25,19.26,19.44,18.58,19.34,7926939,19.155,0.08,0.41537,NASDAQ,,American
AA,2021-01-26,19.6,19.66,18.55,18.56,5928800,19.0925,-1.04,-5.31,NASDAQ,,American
AA,2021-01-27,18.69,18.97,17.3,18.66,9215320,18.405,-0.03,-0.16051,NASDAQ,,American
AA,2021-01-28,19.1,19.3,18.48,18.5,7028644,18.845,-0.6,-3.14,NASDAQ,,American
AA,2021-01-29,18.65,18.84,17.77,18.0,7772500,18.315,-0.65,-3.49,NASDAQ,,American
AA,2021-02-01,18.49,18.89,17.78,18.82,9127432,18.495,0.33,1.78,NASDAQ,,American
AA,2021-02-02,19.16,19.38,18.81,19.11,7218520,19.115,-0.05,-0.26096,NASDAQ,,American
AA,2021-02-03,19.11,20.18,18.85,19.9,10453700,19.51,0.79,4.13,NASDAQ,,American
AA,2021-02-04,20.02,20.45,19.85,20.36,5516700,20.17,0.34,1.7,NASDAQ,,American
AA,2021-02-05,20.58,20.98,20.22,20.95,5242727,20.6825,0.37,1.8,NASDAQ,,American
AA,2021-02-08,21.33,21.97,21.29,21.8,8285018,21.5975,0.47,2.2,NASDAQ,,American
AA,2021-02-09,21.77,22.35,21.66,21.76,5591021,21.885,-0.01,-0.04593477,NASDAQ,,American
AA,2021-02-10,21.58,22.12,21.05,21.56,5196620,21.5775,-0.02,-0.09267841,NASDAQ,,American
AA,2021-02-11,21.51,21.67,20.97,21.39,3865124,21.385,-0.12,-0.55788,NASDAQ,,American
AA,2021-02-12,21.09,21.76,20.96,21.66,3306025,21.3675,0.57,2.7,NASDAQ,,American
AA,2021-02-16,22.09,22.62,22.05,22.43,4264320,22.2975,0.34,1.54,NASDAQ,,American
AA,2021-02-17,22.41,22.68,21.71,21.93,4239500,22.1825,-0.48,-2.14,NASDAQ,,American
AA,2021-02-18,22.03,22.26,21.07,21.12,3545632,21.62,-0.91,-4.13,NASDAQ,,American
AA,2021-02-19,21.56,23.34,21.55,23.13,7262321,22.395,1.57,7.28,NASDAQ,,American
AA,2021-02-22,23.46,25.48,23.05,24.8,9399508,24.1975,1.34,5.71,NASDAQ,,American
AA,2021-02-23,23.86,25.09,22.95,24.9,6009800,24.2,1.04,4.36,NASDAQ,,American
AA,2021-02-24,25.1,27.29,25.1,27.2,8974303,26.1725,2.1,8.37,NASDAQ,,American
AA,2021-02-25,27.48,27.8,25.11,25.56,8444400,26.4875,-1.92,-6.99,NASDAQ,,American
AA,2021-02-26,24.2,24.98,23.64,24.55,6412700,24.3425,0.35,1.45,NASDAQ,,American
AA,2021-03-01,25.67,26.38,25.4,25.99,5560293,25.86,0.32,1.25,NASDAQ,,American
AA,2021-03-02,26.2,27.86,26.2,27.5,8530319,26.94,1.3,4.96,NASDAQ,,American
AA,2021-03-03,28.9,31.37,28.52,30.83,17570200,29.905,1.93,6.68,NASDAQ,,American
