symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
ALGT,2021-01-19,187.73,190.54,181.54,185.15,161187,186.24,-2.58,-1.37,NASDAQ,,Allegiant Air
ALGT,2021-01-20,186.5,191.82,186.5,191.31,90082,189.0325,4.81,2.58,NASDAQ,,Allegiant Air
ALGT,2021-01-21,190.93,191.69,186.1,190.25,112272,189.7425,-0.68,-0.35615,NASDAQ,,Allegiant Air
ALGT,2021-01-22,186.66,192.26,185.0,191.42,85200,188.835,4.76,2.55,NASDAQ,,Allegiant Air
ALGT,2021-01-25,189.88,189.88,184.01,188.64,85918,188.1025,-1.24,-0.65304,NASDAQ,,Allegiant Air
ALGT,2021-01-26,190.88,192.74,187.62,187.98,67626,189.805,-2.9,-1.52,NASDAQ,,Allegiant Air
ALGT,2021-01-27,184.04,186.51,176.52,179.0,138983,181.5175,-5.04,-2.74,NASDAQ,,Allegiant Air
ALGT,2021-01-28,183.7,190.07,183.7,187.82,120548,186.3225,4.12,2.24,NASDAQ,,Allegiant Air
ALGT,2021-01-29,186.74,186.74,178.66,181.49,82307,183.4075,-5.25,-2.81,NASDAQ,,Allegiant Air
ALGT,2021-02-01,183.21,185.55,178.69,183.92,80877,182.8425,0.71,0.38753,NASDAQ,,Allegiant Air
ALGT,2021-02-02,187.71,189.73,182.99,187.7,59666,187.0325,-0.01,-0.00532737,NASDAQ,,Allegiant Air
ALGT,2021-02-03,188.63,193.61,187.48,193.36,130360,190.77,4.73,2.51,NASDAQ,,Allegiant Air
ALGT,2021-02-04,199.8,221.25,199.8,219.38,315710,210.0575,19.58,9.8,NASDAQ,,Allegiant Air
ALGT,2021-02-05,216.11,221.18,209.8,213.49,276084,215.145,-2.62,-1.21,NASDAQ,,Allegiant Air
ALGT,2021-02-08,214.69,214.69,209.74,212.31,197861,212.8575,-2.38,-1.11,NASDAQ,,Allegiant Air
ALGT,2021-02-09,210.78,216.97,210.01,211.5,131500,212.315,0.72,0.34159,NASDAQ,,Allegiant Air
ALGT,2021-02-10,210.9,217.11,208.95,216.29,106796,213.3125,5.39,2.56,NASDAQ,,Allegiant Air
ALGT,2021-02-11,213.39,215.61,210.54,215.43,110801,213.7425,2.04,0.956,NASDAQ,,Allegiant Air
ALGT,2021-02-12,215.33,217.16,212.42,214.76,84670,214.9175,-0.57,-0.26471,NASDAQ,,Allegiant Air
ALGT,2021-02-16,215.31,217.43,209.52,215.45,105356,214.4275,0.14,0.06502253,NASDAQ,,Allegiant Air
ALGT,2021-02-17,213.25,223.98,212.78,223.68,96320,218.4225,10.43,4.89,NASDAQ,,Allegiant Air
ALGT,2021-02-18,223.0,229.9,220.65,229.48,144430,225.7575,6.48,2.91,NASDAQ,,Allegiant Air
ALGT,2021-02-19,229.69,243.97,228.7,242.76,189509,236.28,13.07,5.69,NASDAQ,,Allegiant Air
ALGT,2021-02-22,242.38,257.0,239.48,247.44,203197,246.575,5.06,2.09,NASDAQ,,Allegiant Air
ALGT,2021-02-23,252.75,252.75,238.46,244.6,188207,247.14,-8.15,-3.22,NASDAQ,,Allegiant Air
ALGT,2021-02-24,246.47,259.99,243.74,256.97,202294,251.7925,10.5,4.26,NASDAQ,,Allegiant Air
ALGT,2021-02-25,259.94,260.0,244.5,248.71,107924,253.2875,-11.23,-4.32,NASDAQ,,Allegiant Air
ALGT,2021-02-26,249.89,256.37,243.52,252.19,95852,250.4925,2.3,0.9204,NASDAQ,,Allegiant Air
ALGT,2021-03-01,257.49,258.97,248.57,252.19,151808,254.305,-5.3,-2.06,NASDAQ,,Allegiant Air
ALGT,2021-03-02,250.87,253.58,245.03,252.19,124638,250.4175,1.32,0.52617,NASDAQ,,Allegiant Air
ALGT,2021-03-03,254.64,262.31,249.38,250.56,206450,254.2225,-4.08,-1.6,NASDAQ,,Allegiant Air
ALGT,2021-03-04,250.26,252.05,232.7,244.03,173256,244.76,-6.23,-2.49,NASDAQ,,Allegiant Air
ALGT,2021-03-05,247.66,247.66,229.28,244.07,178560,242.1675,-3.59,-1.45,NASDAQ,,Allegiant Air
ALGT,2021-03-08,249.99,262.87,246.87,258.17,211656,254.475,8.18,3.27,NASDAQ,,Allegiant Air
ALGT,2021-03-09,259.67,260.39,251.01,258.21,180275,257.32,-1.46,-0.56225,NASDAQ,,Allegiant Air
ALGT,2021-03-10,257.88,261.96,242.71,250.98,172589,253.3825,-6.9,-2.68,NASDAQ,,Allegiant Air
ALGT,2021-03-11,254.12,256.27,246.86,251.13,198317,252.095,-2.99,-1.18,NASDAQ,,Allegiant Air
ALGT,2021-03-12,250.32,256.3,250.32,253.71,291985,252.6625,3.39,1.35,NASDAQ,,Allegiant Air
ALGT,2021-03-15,258.74,270.29,254.05,268.81,273973,262.9725,10.07,3.89,NASDAQ,,Allegiant Air
ALGT,2021-03-16,271.29,271.29,255.52,256.97,187028,263.7675,-14.32,-5.28,NASDAQ,,Allegiant Air
ALGT,2021-03-17,255.96,264.83,252.36,262.63,172221,258.945,6.67,2.61,NASDAQ,,Allegiant Air
ALGT,2021-03-18,261.98,266.07,252.99,255.69,183840,259.1825,-6.3,-2.4,NASDAQ,,Allegiant Air
