symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
ALK,2021-01-19,54.47,55.12,53.42,54.71,1221513,54.55,0.24,0.44061,NYSE,,Alaska
ALK,2021-01-20,54.99,56.1,54.6641,55.81,1175546,55.65,0.82,1.49,NYSE,,Alaska
ALK,2021-01-21,54.86,55.64,54.16,54.96,1359551,54.9,0.1,0.18228,NYSE,,Alaska
ALK,2021-01-22,54.2,54.6499,53.71,54.47,954734,54.3,0.27,0.49815,NYSE,,Alaska
ALK,2021-01-25,54.0,54.05,51.23,52.9,2827426,52.3,-1.1,-2.04,NYSE,,Alaska
ALK,2021-01-26,53.5,53.65,51.62,51.83,2764066,52.5,-1.67,-3.12,NYSE,,Alaska
ALK,2021-01-27,50.965,51.22,48.09,48.85,3821570,49.17,-2.115,-4.15,NYSE,,Alaska
ALK,2021-01-28,50.075,51.98,50.0147,50.67,2925818,50.84,0.595,1.19,NYSE,,Alaska
ALK,2021-01-29,50.48,50.56,48.13,48.83,2253736,49.2,-1.65,-3.27,NYSE,,Alaska
ALK,2021-02-01,49.355,50.56,48.25,49.89,2732337,49.77,0.535,1.08,NYSE,,Alaska
ALK,2021-02-02,50.85,51.2394,50.18,50.66,2402236,50.68,-0.19,-0.37365,NYSE,,Alaska
ALK,2021-02-03,51.25,52.74,50.76,52.54,1554805,52.26,1.29,2.52,NYSE,,Alaska
ALK,2021-02-04,52.8,54.7143,52.72,54.48,1765246,53.99,1.68,3.18,NYSE,,Alaska
ALK,2021-02-05,54.98,55.15,54.05,54.18,1183617,54.57,-0.8,-1.46,NYSE,,Alaska
ALK,2021-02-08,54.6,57.6,54.5901,57.08,1778905,56.77,2.48,4.54,NYSE,,Alaska
ALK,2021-02-09,56.48,56.59,55.57,55.74,1312113,55.93,-0.74,-1.31,NYSE,,Alaska
ALK,2021-02-10,56.11,57.68,55.65,57.36,1460123,57.05,1.25,2.23,NYSE,,Alaska
ALK,2021-02-11,57.04,57.74,56.45,57.69,1378681,57.15,0.65,1.14,NYSE,,Alaska
ALK,2021-02-12,57.19,58.17,56.915,57.56,979172,57.45,0.37,0.64697,NYSE,,Alaska
ALK,2021-02-16,58.54,60.1,57.69,59.94,1690223,59.17,1.4,2.39,NYSE,,Alaska
ALK,2021-02-17,59.38,60.245,58.94,59.99,1386303,59.73,0.61,1.03,NYSE,,Alaska
ALK,2021-02-18,59.21,60.18,58.43,59.9,1432270,59.28,0.69,1.17,NYSE,,Alaska
ALK,2021-02-19,60.42,62.8551,60.18,62.28,2019769,62.2,1.86,3.08,NYSE,,Alaska
ALK,2021-02-22,63.91,66.1289,62.64,63.61,4161987,64.66,-0.3,-0.46941,NYSE,,Alaska
ALK,2021-02-23,64.725,66.965,62.15,66.52,3159816,65.42,1.795,2.77,NYSE,,Alaska
ALK,2021-02-24,66.9,68.989,66.64,67.45,3276774,67.73,0.55,0.82212,NYSE,,Alaska
ALK,2021-02-25,67.49,67.89,64.07,65.56,2063002,65.82,-1.93,-2.86,NYSE,,Alaska
ALK,2021-02-26,65.32,66.57,63.58,65.02,2240861,64.99,-0.3,-0.45928,NYSE,,Alaska
ALK,2021-03-01,67.08,67.67,64.31,64.83,2514567,65.67,-2.25,-3.35,NYSE,,Alaska
ALK,2021-03-02,64.57,65.82,64.05,65.42,1117832,65.27,0.85,1.32,NYSE,,Alaska
ALK,2021-03-03,66.13,67.2229,65.18,65.96,1232970,66.27,-0.17,-0.25707,NYSE,,Alaska
ALK,2021-03-04,65.32,66.7,61.85,64.62,1630657,64.43,-0.7,-1.07,NYSE,,Alaska
ALK,2021-03-05,65.04,65.29,59.6893,64.89,1800307,63.02,-0.15,-0.23063,NYSE,,Alaska
ALK,2021-03-08,65.99,69.1684,65.61,67.99,2223860,68.0,2.0,3.03,NYSE,,Alaska
ALK,2021-03-09,68.66,68.75,66.205,66.89,1474553,67.25,-1.77,-2.58,NYSE,,Alaska
ALK,2021-03-10,66.36,67.68,65.15,66.39,1676042,66.27,0.03,0.04520796,NYSE,,Alaska
ALK,2021-03-11,66.86,66.99,65.11,65.69,2013446,65.84,-1.17,-1.75,NYSE,,Alaska
ALK,2021-03-12,66.01,68.88,65.8,68.02,1882664,68.01,2.01,3.04,NYSE,,Alaska
ALK,2021-03-15,69.44,72.62,68.86,71.98,3782405,70.99,2.54,3.66,NYSE,,Alaska
ALK,2021-03-16,72.41,72.5,70.2,70.6,2093214,71.05,-1.81,-2.5,NYSE,,Alaska
ALK,2021-03-17,70.05,73.26,69.76,73.2,1977000,72.02,3.15,4.5,NYSE,,Alaska
ALK,2021-03-18,72.69,73.749,70.21,70.59,1912865,72.01,-2.1,-2.89,NYSE,,Alaska
ALK,2021-03-19,69.98,71.69,68.22,70.78,2564714,70.54,0.8,1.14,NYSE,,Alaska
ALK,2021-03-22,70.42,70.42,68.24,68.56,1752625,68.85,-1.86,-2.64,NYSE,,Alaska
