symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
DAL,2021-01-19,40.31,40.65,39.8,40.31,11530700,40.2675,0.0,0.0,NYSE,,Delta
DAL,2021-01-20,40.69,41.77,40.5,41.62,11335701,41.145,0.93,2.29,NYSE,,Delta
DAL,2021-01-21,41.31,41.43,40.17,40.67,11155112,40.895,-0.64,-1.55,NYSE,,Delta
DAL,2021-01-22,40.0,40.27,39.81,40.0,11310100,40.02,0.0,0.0,NYSE,,Delta
DAL,2021-01-25,39.63,39.75,38.42,38.9,15964900,39.175,-0.73,-1.84,NYSE,,Delta
DAL,2021-01-26,39.26,39.64,38.98,39.32,10599400,39.3,0.06,0.15283,NYSE,,Delta
DAL,2021-01-27,38.63,39.23,38.16,38.52,16953400,38.635,-0.11,-0.28475,NYSE,,Delta
DAL,2021-01-28,39.55,40.37,38.99,40.08,21654014,39.7475,0.53,1.34,NYSE,,Delta
DAL,2021-01-29,39.27,39.83,37.74,37.96,17989711,38.7,-1.31,-3.34,NYSE,,Delta
DAL,2021-02-01,38.35,38.44,37.42,37.82,10332933,38.0075,-0.53,-1.38,NYSE,,Delta
DAL,2021-02-02,38.55,38.88,37.99,38.8,11854300,38.555,0.25,0.64851,NYSE,,Delta
DAL,2021-02-03,38.87,39.9,38.7,39.78,12416000,39.3125,0.91,2.34,NYSE,,Delta
DAL,2021-02-04,39.95,41.07,39.94,40.93,11431800,40.4725,0.98,2.45,NYSE,,Delta
DAL,2021-02-05,41.38,41.4,40.75,41.15,10111937,41.17,-0.23,-0.55582,NYSE,,Delta
DAL,2021-02-08,41.55,43.46,41.36,43.24,18296301,42.4025,1.69,4.07,NYSE,,Delta
DAL,2021-02-09,42.96,42.96,41.81,42.51,10432100,42.56,-0.45,-1.05,NYSE,,Delta
DAL,2021-02-10,42.84,43.22,42.16,42.9,12011100,42.78,0.06,0.14006,NYSE,,Delta
DAL,2021-02-11,42.7,43.14,42.0,42.72,8549200,42.64,0.02,0.04683841,NYSE,,Delta
DAL,2021-02-12,42.51,43.94,42.41,43.29,11490112,43.0375,0.78,1.83,NYSE,,Delta
DAL,2021-02-16,43.99,44.81,43.78,44.65,13775500,44.3075,0.66,1.5,NYSE,,Delta
DAL,2021-02-17,44.28,44.5,43.54,44.39,10945652,44.1775,0.11,0.24842,NYSE,,Delta
DAL,2021-02-18,43.8,44.55,43.37,44.38,8756266,44.025,0.58,1.32,NYSE,,Delta
DAL,2021-02-19,44.62,46.22,44.55,45.67,14587720,45.265,1.05,2.35,NYSE,,Delta
DAL,2021-02-22,46.75,48.93,46.47,47.74,21573509,47.4725,0.99,2.12,NYSE,,Delta
DAL,2021-02-23,48.13,48.88,45.7,48.34,19193800,47.7625,0.21,0.43632,NYSE,,Delta
DAL,2021-02-24,48.93,50.2,48.62,49.6,17020900,49.3375,0.67,1.37,NYSE,,Delta
DAL,2021-02-25,49.97,50.0,47.23,48.25,15729800,48.8625,-1.72,-3.44,NYSE,,Delta
DAL,2021-02-26,47.7,49.14,47.28,47.94,14828016,48.015,0.24,0.50314,NYSE,,Delta
DAL,2021-03-01,49.47,49.96,48.06,48.06,13812921,48.8875,-1.41,-2.85,NYSE,,Delta
DAL,2021-03-02,48.1,48.68,47.38,48.23,11566800,48.0975,0.13,0.27027,NYSE,,Delta
