symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
JBLU,2021-01-19,15.1748,15.3801,14.885,15.06,7843061,15.09,-0.1148,-0.75652,NASDAQ,,JetBlue
JBLU,2021-01-20,15.19,15.75,15.05,15.64,7424196,15.5,0.45,2.96,NASDAQ,,JetBlue
JBLU,2021-01-21,15.42,15.52,15.11,15.27,6897098,15.29,-0.15,-0.97276,NASDAQ,,JetBlue
JBLU,2021-01-22,15.07,15.3,15.02,15.29,4820559,15.15,0.22,1.46,NASDAQ,,JetBlue
JBLU,2021-01-25,15.1,15.18,14.57,14.59,8927983,14.74,-0.51,-3.38,NASDAQ,,JetBlue
JBLU,2021-01-26,14.69,14.97,14.66,14.85,7328490,14.85,0.16,1.09,NASDAQ,,JetBlue
JBLU,2021-01-27,14.53,15.0981,14.52,14.68,10653666,14.8,0.15,1.03,NASDAQ,,JetBlue
JBLU,2021-01-28,15.15,15.7,14.58,14.65,14905989,15.06,-0.5,-3.3,NASDAQ,,JetBlue
JBLU,2021-01-29,14.63,14.75,14.24,14.34,9805302,14.46,-0.29,-1.98,NASDAQ,,JetBlue
JBLU,2021-02-01,14.42,14.49,14.05,14.32,6497926,14.29,-0.1,-0.69348,NASDAQ,,JetBlue
JBLU,2021-02-02,14.64,14.64,14.2501,14.43,9028969,14.4,-0.21,-1.43,NASDAQ,,JetBlue
JBLU,2021-02-03,14.49,15.06,14.34,15.0,13120212,14.84,0.51,3.52,NASDAQ,,JetBlue
JBLU,2021-02-04,15.09,16.2,15.02,15.95,17195519,15.79,0.86,5.7,NASDAQ,,JetBlue
JBLU,2021-02-05,16.12,16.15,15.545,15.795,7024785,15.83,-0.325,-2.02,NASDAQ,,JetBlue
JBLU,2021-02-08,15.89,16.75,15.89,16.46,10077136,16.49,0.57,3.59,NASDAQ,,JetBlue
JBLU,2021-02-09,16.38,16.38,16.0122,16.31,8073660,16.23,-0.07,-0.42735,NASDAQ,,JetBlue
JBLU,2021-02-10,16.4,16.74,16.3022,16.64,6513065,16.59,0.24,1.46,NASDAQ,,JetBlue
JBLU,2021-02-11,16.54,16.6451,16.08,16.52,5798871,16.4,-0.02,-0.12092,NASDAQ,,JetBlue
