symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
LUV,2021-01-19,47.2,47.65,46.76,46.91,4780727,47.13,-0.29,-0.61441,NYSE,,Southwest
LUV,2021-01-20,47.1,48.45,46.9,48.21,6972500,47.665,1.11,2.36,NYSE,,Southwest
LUV,2021-01-21,47.75,47.94,47.12,47.77,5663916,47.645,0.02,0.04188482,NYSE,,Southwest
LUV,2021-01-22,47.18,47.75,47.07,47.39,4812538,47.3475,0.21,0.4451,NYSE,,Southwest
LUV,2021-01-25,47.28,47.34,45.17,45.62,13345700,46.3525,-1.66,-3.51,NYSE,,Southwest
LUV,2021-01-26,45.75,46.22,45.6,45.81,5667206,45.845,0.06,0.13115,NYSE,,Southwest
LUV,2021-01-27,45.25,45.7,43.87,44.15,10428716,44.7425,-1.1,-2.43,NYSE,,Southwest
LUV,2021-01-28,45.16,46.25,44.33,44.6,12404600,45.085,-0.56,-1.24,NYSE,,Southwest
LUV,2021-01-29,44.25,44.95,43.72,43.94,9854900,44.215,-0.31,-0.70056,NYSE,,Southwest
LUV,2021-02-01,44.34,45.19,44.09,44.79,5861200,44.6025,0.45,1.01,NYSE,,Southwest
LUV,2021-02-02,45.6,46.18,45.35,45.62,6203500,45.6875,0.02,0.04385965,NYSE,,Southwest
LUV,2021-02-03,45.6,46.87,45.5,46.55,6118734,46.13,0.95,2.08,NYSE,,Southwest
LUV,2021-02-04,46.79,49.18,46.71,49.13,10621726,47.9525,2.34,5.0,NYSE,,Southwest
LUV,2021-02-05,49.76,50.89,49.11,50.05,10472600,49.9525,0.29,0.5828,NYSE,,Southwest
LUV,2021-02-08,50.52,53.29,50.21,52.24,11359100,51.565,1.72,3.4,NYSE,,Southwest
LUV,2021-02-09,51.53,51.75,50.53,51.18,5409829,51.2475,-0.35,-0.67922,NYSE,,Southwest
LUV,2021-02-10,51.5,52.34,51.16,51.28,7570806,51.57,-0.22,-0.42718,NYSE,,Southwest
LUV,2021-02-11,51.02,51.48,50.34,51.42,5240300,51.065,0.4,0.78401,NYSE,,Southwest
LUV,2021-02-12,51.3,51.84,50.97,51.34,4660013,51.3625,0.04,0.07797271,NYSE,,Southwest
LUV,2021-02-16,51.81,52.02,50.82,51.96,7402600,51.6525,0.15,0.28952,NYSE,,Southwest
LUV,2021-02-17,51.7,52.53,51.21,52.44,6277946,51.97,0.74,1.43,NYSE,,Southwest
LUV,2021-02-18,51.93,52.2,50.97,51.95,5032833,51.7625,0.02,0.03851338,NYSE,,Southwest
LUV,2021-02-19,52.23,53.84,52.1,52.81,6334633,52.745,0.58,1.11,NYSE,,Southwest
LUV,2021-02-22,54.03,55.74,53.29,54.79,11268100,54.4625,0.76,1.41,NYSE,,Southwest
LUV,2021-02-23,56.2,57.42,54.31,56.72,13654500,56.1625,0.52,0.92527,NYSE,,Southwest
LUV,2021-02-24,57.6,59.64,57.38,59.29,14871713,58.4775,1.69,2.93,NYSE,,Southwest
LUV,2021-02-25,59.15,59.26,57.08,58.31,16988221,58.45,-0.84,-1.42,NYSE,,Southwest
LUV,2021-02-26,57.42,58.69,57.0,58.13,9763331,57.81,0.71,1.24,NYSE,,Southwest
LUV,2021-03-01,59.55,59.84,57.67,58.06,11360470,58.78,-1.49,-2.5,NYSE,,Southwest
LUV,2021-03-02,57.7,58.4,57.22,57.81,6558200,57.7825,0.11,0.19064,NYSE,,Southwest
LUV,2021-03-03,58.47,58.67,57.6,57.82,8552503,58.14,-0.65,-1.11,NYSE,,Southwest
LUV,2021-03-04,57.72,57.88,54.26,56.08,12853300,56.485,-1.64,-2.84,NYSE,,Southwest
LUV,2021-03-05,56.36,57.13,52.29,56.92,11420700,55.675,0.56,0.99361,NYSE,,Southwest
LUV,2021-03-08,58.01,60.7,57.55,60.55,15098100,59.2025,2.54,4.38,NYSE,,Southwest
LUV,2021-03-09,60.17,60.25,58.2,58.93,7309928,59.3875,-1.24,-2.06,NYSE,,Southwest
LUV,2021-03-10,58.8,59.69,57.96,58.51,6449428,58.74,-0.29,-0.4932,NYSE,,Southwest
LUV,2021-03-11,58.93,59.43,58.13,58.47,7295300,58.74,-0.46,-0.78059,NYSE,,Southwest
LUV,2021-03-12,58.41,61.16,58.3,61.03,10182800,59.725,2.62,4.49,NYSE,,Southwest
