symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
UAL,2021-01-19,44.6,44.9,43.77,44.75,9706312,44.51,0.15,0.33632,NASDAQ,,United
UAL,2021-01-20,45.04,45.65,44.41,45.18,11316304,45.01,0.14,0.31083,NASDAQ,,United
UAL,2021-01-21,43.8035,43.98,41.715,42.59,32185626,42.61,-1.2135,-2.77,NASDAQ,,United
UAL,2021-01-22,41.95,42.29,41.61,42.14,13544971,41.92,0.19,0.45292,NASDAQ,,United
UAL,2021-01-25,41.54,41.73,39.9,40.38,20281919,40.51,-1.16,-2.79,NASDAQ,,United
UAL,2021-01-26,40.8,41.39,40.56,41.25,13388598,41.03,0.45,1.1,NASDAQ,,United
UAL,2021-01-27,40.74,41.65,40.312,40.91,15279986,41.03,0.17,0.41728,NASDAQ,,United
UAL,2021-01-28,42.8265,44.2,41.62,42.55,22174963,42.78,-0.2765,-0.64563,NASDAQ,,United
UAL,2021-01-29,42.1107,42.5,39.77,39.99,24192571,40.61,-2.1207,-5.04,NASDAQ,,United
UAL,2021-02-01,40.345,40.41,39.175,39.935,13143423,39.77,-0.41,-1.02,NASDAQ,,United
UAL,2021-02-02,40.63,40.905,39.94,40.83,13118149,40.48,0.2,0.49225,NASDAQ,,United
UAL,2021-02-03,41.02,42.2,40.52,42.04,15174840,41.62,1.02,2.49,NASDAQ,,United
UAL,2021-02-04,42.15,42.61,41.8399,42.41,13633792,42.17,0.26,0.61684,NASDAQ,,United
UAL,2021-02-05,42.88,42.94,41.94,42.14,10764265,42.34,-0.74,-1.73,NASDAQ,,United
UAL,2021-02-08,42.5,44.64,42.24,44.35,19794297,44.05,1.85,4.35,NASDAQ,,United
UAL,2021-02-09,44.06,44.0915,42.82,43.32,11967158,43.34,-0.74,-1.68,NASDAQ,,United
UAL,2021-02-10,43.86,44.2199,43.36,43.78,9772515,43.83,-0.08,-0.1824,NASDAQ,,United
UAL,2021-02-11,43.64,43.84,42.99,43.44,8478124,43.42,-0.2,-0.4583,NASDAQ,,United
UAL,2021-02-12,43.11,44.471,42.9,43.935,8987489,43.88,0.825,1.91,NASDAQ,,United
UAL,2021-02-16,45.0665,45.81,44.56,45.71,13954879,45.24,0.6435,1.43,NASDAQ,,United
UAL,2021-02-17,45.41,46.48,44.72,46.08,12840055,45.73,0.67,1.48,NASDAQ,,United
UAL,2021-02-18,45.1969,45.44,44.3,44.96,10250399,44.84,-0.2369,-0.52415,NASDAQ,,United
UAL,2021-02-19,45.5228,48.36,45.44,48.03,21112041,47.65,2.5072,5.51,NASDAQ,,United
UAL,2021-02-22,49.26,51.82,48.35,49.7,27547898,50.42,0.44,0.89322,NASDAQ,,United
UAL,2021-02-23,50.2,51.1823,46.96,50.61,20124969,49.49,0.41,0.81673,NASDAQ,,United
UAL,2021-02-24,51.11,55.87,50.87,54.96,27482084,54.06,3.85,7.53,NASDAQ,,United
UAL,2021-02-25,54.85,55.0,50.42,51.78,25949974,52.43,-3.07,-5.6,NASDAQ,,United
UAL,2021-02-26,51.51,53.41,51.2,52.68,18330099,52.53,1.17,2.27,NASDAQ,,United
UAL,2021-03-01,55.44,55.93,52.78,53.31,19500088,54.26,-2.13,-3.84,NASDAQ,,United
UAL,2021-03-02,53.66,54.05,52.75,53.21,12370989,53.36,-0.45,-0.83861,NASDAQ,,United
UAL,2021-03-03,53.61,55.2,53.28,54.57,18438946,54.28,0.96,1.79,NASDAQ,,United
UAL,2021-03-04,54.64,54.85,49.95,52.05,19937491,52.22,-2.59,-4.74,NASDAQ,,United
UAL,2021-03-05,52.6453,52.73,46.56,50.52,21503158,49.54,-2.1253,-4.04,NASDAQ,,United
UAL,2021-03-08,51.35,54.3325,51.34,54.06,17588966,53.29,2.71,5.28,NASDAQ,,United
UAL,2021-03-09,53.81,54.155,51.8,53.43,15292842,53.09,-0.38,-0.70619,NASDAQ,,United
UAL,2021-03-10,53.4,54.37,52.85,53.92,13438932,53.7,0.52,0.97378,NASDAQ,,United
UAL,2021-03-11,54.3,55.87,53.37,54.06,17140757,54.51,-0.24,-0.44199,NASDAQ,,United
UAL,2021-03-12,54.0,56.44,53.61,56.29,19762477,55.45,2.29,4.24,NASDAQ,,United
UAL,2021-03-15,58.25,61.69,57.9185,60.94,35374245,60.41,2.69,4.62,NASDAQ,,United
UAL,2021-03-16,61.11,61.2,59.21,59.81,18306413,60.24,-1.3,-2.13,NASDAQ,,United
UAL,2021-03-17,59.11,62.56,58.86,62.45,18338038,61.14,3.34,5.65,NASDAQ,,United
UAL,2021-03-18,62.17,63.6999,60.58,60.82,19129709,62.08,-1.35,-2.17,NASDAQ,,United
UAL,2021-03-19,60.9,60.95,58.64,60.77,19643819,60.19,-0.13,-0.21346,NASDAQ,,United
UAL,2021-03-22,59.75,60.2,58.21,58.33,12958276,58.81,-1.42,-2.38,NASDAQ,,United
UAL,2021-03-23,57.11,58.08,53.85,54.36,21698204,55.48,-2.75,-4.82,NASDAQ,,United
UAL,2021-03-24,55.66,56.96,53.78,53.83,18015776,55.59,-1.83,-3.29,NASDAQ,,United
UAL,2021-03-25,52.905,56.29,52.0301,56.05,21500079,54.7,3.145,5.94,NASDAQ,,United
UAL,2021-03-26,57.09,57.37,55.22,56.83,15432445,56.34,-0.26,-0.45542,NASDAQ,,United
UAL,2021-03-29,56.8,57.31,55.41,56.2,12083040,56.24,-0.6,-1.06,NASDAQ,,United
UAL,2021-03-30,56.78,58.5,56.48,58.21,12708910,57.8,1.43,2.52,NASDAQ,,United
UAL,2021-03-31,58.0,58.0115,57.06,57.54,11021782,57.55,-0.46,-0.7931,NASDAQ,,United
UAL,2021-04-01,57.6619,58.545,57.28,57.82,10932226,57.76,0.1581,0.27418,NASDAQ,,United
UAL,2021-04-05,59.34,60.89,58.94,59.29,17175712,59.96,-0.05,-0.0842602,NASDAQ,,United
UAL,2021-04-06,59.878,60.42,58.87,59.48,11917227,59.62,-0.398,-0.66468,NASDAQ,,United
UAL,2021-04-07,59.79,61.3399,59.19,59.57,13772591,60.18,-0.22,-0.36795,NASDAQ,,United
UAL,2021-04-08,59.14,59.47,57.75,59.43,13655758,58.7,0.29,0.49036,NASDAQ,,United
UAL,2021-04-09,59.02,59.3601,57.785,58.43,10896080,58.37,-0.59,-0.99966,NASDAQ,,United
UAL,2021-04-12,57.57,57.71,55.29,56.16,18714698,56.09,-1.41,-2.45,NASDAQ,,United
UAL,2021-04-13,54.406,56.86,53.9,56.66,15349381,55.44,2.254,4.14,NASDAQ,,United
UAL,2021-04-14,57.46,58.52,56.54,56.92,12971146,57.56,-0.54,-0.93978,NASDAQ,,United
UAL,2021-04-15,57.79,57.8514,55.57,56.12,12123396,56.21,-1.67,-2.89,NASDAQ,,United
UAL,2021-04-16,56.47,57.15,55.71,55.87,10620386,56.16,-0.6,-1.06,NASDAQ,,United
UAL,2021-04-19,55.79,55.965,54.7376,54.99,13984371,55.16,-0.8,-1.43,NASDAQ,,United
UAL,2021-04-20,53.47,53.7899,49.47,50.3,44364545,50.45,-3.17,-5.93,NASDAQ,,United
UAL,2021-04-21,49.88,51.89,48.9,51.86,21085585,50.97,1.98,3.97,NASDAQ,,United
UAL,2021-04-22,52.34,53.09,50.875,51.03,20538150,51.81,-1.31,-2.5,NASDAQ,,United
UAL,2021-04-23,51.21,53.35,50.64,53.11,13862419,52.47,1.9,3.71,NASDAQ,,United
UAL,2021-04-26,54.05,54.47,53.22,53.78,12358766,53.7,-0.27,-0.49954,NASDAQ,,United
