symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
ULCC,2021-04-01,18.61,19.2,18.26,18.85,10277864,18.74,0.24,1.29,NASDAQ,,Frontier
ULCC,2021-04-05,19.1,19.5,18.9,19.13,3266521,19.14,0.03,0.15707,NASDAQ,,Frontier
ULCC,2021-04-06,19.75,19.92,19.2,19.74,2071997,19.61,-0.01,-0.05063291,NASDAQ,,Frontier
ULCC,2021-04-07,20.0,20.72,19.84,20.58,2765789,20.33,0.58,2.9,NASDAQ,,Frontier
ULCC,2021-04-08,20.8,21.5096,20.66,21.25,5053853,21.13,0.45,2.16,NASDAQ,,Frontier
ULCC,2021-04-09,21.4,21.98,20.17,21.37,1672825,21.22,-0.03,-0.14019,NASDAQ,,Frontier
ULCC,2021-04-12,21.03,21.77,19.88,20.31,796141,20.82,-0.72,-3.42,NASDAQ,,Frontier
ULCC,2021-04-13,20.08,20.5573,18.9,19.68,737539,19.68,-0.4,-1.99,NASDAQ,,Frontier
ULCC,2021-04-14,19.82,21.11,19.77,19.97,601012,20.27,0.15,0.75681,NASDAQ,,Frontier
ULCC,2021-04-15,20.25,20.4,19.8,19.95,367197,20.14,-0.3,-1.48,NASDAQ,,Frontier
ULCC,2021-04-16,19.91,20.25,19.49,20.13,275140,19.85,0.22,1.1,NASDAQ,,Frontier
ULCC,2021-04-19,19.98,20.15,19.57,20.07,297649,19.91,0.09,0.45045,NASDAQ,,Frontier
ULCC,2021-04-20,20.06,20.07,18.9,19.33,614100,19.26,-0.73,-3.64,NASDAQ,,Frontier
ULCC,2021-04-21,19.24,19.92,19.05,19.43,711533,19.39,0.19,0.98753,NASDAQ,,Frontier
ULCC,2021-04-22,19.3884,20.57,19.23,20.51,917374,20.14,1.1216,5.78,NASDAQ,,Frontier
ULCC,2021-04-23,20.28,21.24,20.15,21.17,626485,21.01,0.89,4.39,NASDAQ,,Frontier
ULCC,2021-04-26,21.39,21.97,20.8798,21.02,1640623,21.26,-0.37,-1.73,NASDAQ,,Frontier
ULCC,2021-04-27,21.03,21.31,20.75,20.99,561990,20.91,-0.04,-0.1902,NASDAQ,,Frontier
ULCC,2021-04-28,20.92,21.29,20.68,21.07,256236,21.1,0.15,0.71702,NASDAQ,,Frontier
ULCC,2021-04-29,21.03,22.0,21.03,21.26,645572,21.49,0.23,1.09,NASDAQ,,Frontier
ULCC,2021-04-30,21.22,21.41,20.72,21.04,418804,21.07,-0.18,-0.84826,NASDAQ,,Frontier
ULCC,2021-05-03,21.19,21.19,20.135,20.29,435511,20.52,-0.9,-4.25,NASDAQ,,Frontier
ULCC,2021-05-04,20.25,20.52,19.7,20.12,432946,20.01,-0.13,-0.64198,NASDAQ,,Frontier
ULCC,2021-05-05,20.24,20.45,19.98,20.17,351645,20.18,-0.07,-0.34585,NASDAQ,,Frontier
ULCC,2021-05-06,20.2,20.3792,19.57,20.04,228796,19.95,-0.16,-0.79208,NASDAQ,,Frontier
ULCC,2021-05-07,20.02,20.69,20.01,20.62,378534,20.34,0.6,3.0,NASDAQ,,Frontier
ULCC,2021-05-10,20.61,20.95,20.4,20.75,283355,20.68,0.14,0.67928,NASDAQ,,Frontier
ULCC,2021-05-11,20.12,20.89,19.65,20.65,747534,20.23,0.53,2.63,NASDAQ,,Frontier
ULCC,2021-05-12,20.55,20.67,19.66,19.83,450739,20.02,-0.72,-3.5,NASDAQ,,Frontier
ULCC,2021-05-13,19.75,20.4699,19.21,19.72,283957,19.8,-0.03,-0.1519,NASDAQ,,Frontier
ULCC,2021-05-14,20.1,20.45,20.0,20.2,353512,20.19,0.1,0.49751,NASDAQ,,Frontier
ULCC,2021-05-17,20.21,20.34,19.47,20.13,392808,19.9,-0.08,-0.39584,NASDAQ,,Frontier
ULCC,2021-05-18,20.25,20.31,19.71,19.72,386240,20.08,-0.53,-2.62,NASDAQ,,Frontier
ULCC,2021-05-19,19.55,19.74,18.92,19.0,510693,19.19,-0.55,-2.81,NASDAQ,,Frontier
ULCC,2021-05-20,19.19,19.45,18.6,18.76,332287,18.94,-0.43,-2.24,NASDAQ,,Frontier
ULCC,2021-05-21,19.29,19.45,18.8,18.95,350417,19.11,-0.34,-1.76,NASDAQ,,Frontier
