symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
UPS,2021-01-19,159.7,159.8,156.05,156.28,4537400,157.9575,-3.42,-2.14,NYSE,,United Parcel Service
UPS,2021-01-20,156.91,160.29,156.03,159.84,3029800,158.2675,2.93,1.87,NYSE,,United Parcel Service
UPS,2021-01-21,159.34,161.7,159.22,160.1,2004104,160.09,0.76,0.47697,NYSE,,United Parcel Service
UPS,2021-01-22,158.4,160.45,157.4,158.99,3131600,158.81,0.59,0.37247,NYSE,,United Parcel Service
UPS,2021-01-25,159.71,164.14,159.11,161.75,3938100,161.1775,2.04,1.28,NYSE,,United Parcel Service
UPS,2021-01-26,162.38,162.76,160.49,161.43,2962400,161.765,-0.95,-0.58505,NYSE,,United Parcel Service
UPS,2021-01-27,159.5,159.6,156.99,157.65,2821509,158.435,-1.85,-1.16,NYSE,,United Parcel Service
UPS,2021-01-28,159.07,159.38,157.2,157.27,2565100,158.23,-1.8,-1.13,NYSE,,United Parcel Service
UPS,2021-01-29,157.02,157.7,154.76,155.0,5007910,156.12,-2.02,-1.29,NYSE,,United Parcel Service
UPS,2021-02-01,156.2,157.15,154.91,156.26,4783000,156.13,0.06,0.03841229,NYSE,,United Parcel Service
UPS,2021-02-02,163.2,164.2,156.93,160.29,10758346,161.155,-2.91,-1.78,NYSE,,United Parcel Service
UPS,2021-02-03,160.69,161.47,156.85,159.71,4559200,159.68,-0.98,-0.60987,NYSE,,United Parcel Service
UPS,2021-02-04,159.23,162.41,157.82,162.26,2811100,160.43,3.03,1.9,NYSE,,United Parcel Service
UPS,2021-02-05,163.0,164.54,161.72,164.38,2560300,163.41,1.38,0.84663,NYSE,,United Parcel Service
UPS,2021-02-08,164.44,165.47,162.81,163.45,2242489,164.0425,-0.99,-0.60204,NYSE,,United Parcel Service
UPS,2021-02-09,163.5,167.6,162.78,166.92,3073615,165.2,3.42,2.09,NYSE,,United Parcel Service
UPS,2021-02-10,167.94,168.23,164.54,165.66,2943733,166.5925,-2.28,-1.36,NYSE,,United Parcel Service
UPS,2021-02-11,166.0,166.28,161.19,162.37,3188400,163.96,-3.63,-2.19,NYSE,,United Parcel Service
UPS,2021-02-12,162.47,163.83,162.04,163.39,2563800,162.9325,0.92,0.56626,NYSE,,United Parcel Service
UPS,2021-02-16,163.95,163.97,161.08,161.75,2867700,162.6875,-2.2,-1.34,NYSE,,United Parcel Service
