symbol,date,open,high,low,close,volume,vwap,change,changePercent,exchange,ticker_status,source_name
AA,2021-01-29,18.65,18.84,17.77,18.0,7772500,18.315,-0.65,-3.49,NASDAQ,,American
AA,2021-02-26,24.2,24.98,23.64,24.55,6412700,24.3425,0.35,1.45,NASDAQ,,American
AA,2021-03-31,33.66,34.29,32.11,32.49,7236600,33.1375,-1.17,-3.48,NASDAQ,,American
AA,2021-04-30,36.52,38.07,36.35,36.64,6284736,36.895,0.12,0.32859,NASDAQ,,American
AA,2021-05-28,38.64,39.7,38.22,39.67,4536800,39.0575,1.03,2.67,NASDAQ,,American
AA,2021-06-30,37.2,37.8,36.68,36.84,6047800,37.13,-0.36,-0.96774,NASDAQ,,American
AA,2021-07-30,39.16,40.66,38.96,40.15,8142636,39.7325,0.99,2.53,NASDAQ,,American
AA,2021-08-31,44.26,44.95,42.96,44.37,6152600,44.135,0.11,0.24853,NASDAQ,,American
AA,2021-09-30,50.06,50.47,48.93,48.94,6045624,49.6,-1.12,-2.24,NASDAQ,,American
AA,2021-10-29,46.08,47.21,45.38,45.95,6647240,46.155,-0.13,-0.28212,NASDAQ,,American
AA,2021-11-30,48.78,49.38,45.56,46.53,9644900,47.5625,-2.25,-4.61,NASDAQ,,American
AA,2021-12-31,59.16,60.05,58.7,59.58,3944000,59.3725,0.42,0.70994,NASDAQ,,American
AA,2022-01-31,56.94,57.02,55.02,56.71,7206100,56.4225,-0.23,-0.40393,NASDAQ,,American
AA,2022-02-28,77.65,80.58,75.01,75.34,9363349,77.145,-2.31,-2.97,NASDAQ,,American
AA,2022-03-31,91.67,92.7,89.8,90.03,4567221,91.05,-1.64,-1.79,NASDAQ,,American
AA,2022-04-29,71.06,72.68,67.22,67.8,6093800,69.69,-3.26,-4.59,NASDAQ,,American
AA,2022-05-31,66.09,67.52,61.31,61.72,18488800,64.16,-4.37,-6.61,NASDAQ,,American
AA,2022-06-30,46.18,46.59,44.27,45.58,6217520,45.655,-0.6,-1.3,NASDAQ,,American
AA,2022-07-29,49.82,51.02,49.09,50.89,5622033,50.205,1.07,2.15,NASDAQ,,American
AA,2022-08-31,50.33,50.61,48.89,49.48,5649700,49.8275,-0.85,-1.69,NASDAQ,,American
AA,2022-09-30,34.81,35.74,33.55,33.66,9024626,34.44,-1.15,-3.3,NASDAQ,,American
AA,2022-10-31,38.86,40.03,38.82,39.03,5388700,39.185,0.17,0.43747,NASDAQ,,American
AA,2022-11-30,48.88,50.49,47.63,50.13,6778409,49.2825,1.25,2.56,NASDAQ,,American
AA,2022-12-30,46.01,46.48,44.69,45.47,3614400,45.6625,-0.54,-1.17,NASDAQ,,American
AA,2023-01-31,49.9,52.3,49.53,52.24,4638800,50.9925,2.34,4.69,NASDAQ,,American
AA,2023-02-28,48.25,50.04,47.8,48.94,3871434,48.7575,0.69,1.43,NASDAQ,,American
AA,2023-03-31,41.97,42.75,41.6,42.56,3079309,42.22,0.59,1.41,NASDAQ,,American
AA,2023-04-28,36.08,37.24,35.78,37.14,3835148,36.56,1.06,2.94,NASDAQ,,American
AA,2023-05-31,32.5,32.7,31.14,31.72,6457625,32.015,-0.78,-2.4,NASDAQ,,American
AA,2023-06-30,33.99,34.1,33.32,33.93,4971200,33.835,-0.06,-0.17652,NASDAQ,,American
AA,2023-07-31,35.45,36.59,35.31,36.19,6038960,35.885,0.74,2.09,NASDAQ,,American
AA,2023-08-31,29.82,30.83,29.56,30.08,19155338,30.0725,0.26,0.8719,NASDAQ,,American
AA,2023-09-29,29.07,29.83,28.97,29.06,7723100,29.2325,-0.01,-0.03439972,NASDAQ,,American
AA,2023-10-31,25.28,25.89,24.84,25.64,5156500,25.4125,0.36,1.42,NASDAQ,,American
AA,2023-11-30,26.58,27.25,26.44,26.86,4823500,26.7825,0.28,1.05,NASDAQ,,American
AA,2023-12-29,34.31,34.74,33.93,34.0,3295505,34.245,-0.31,-0.90353,NASDAQ,,American
AA,2024-01-31,30.49,31.36,29.72,29.75,5760400,30.33,-0.74,-2.43,NASDAQ,,American
AA,2024-02-29,26.69,27.26,26.31,27.21,6020200,26.8675,0.52,1.95,NASDAQ,,American
AA,2024-03-28,33.24,33.97,33.2,33.79,6147100,33.55,0.55,1.65,NASDAQ,,American
AA,2024-04-30,36.76,36.92,35.11,35.14,7993000,35.9825,-1.62,-4.41,NASDAQ,,American
AA,2024-05-31,44.76,45.46,43.3,44.27,4527342,44.4475,-0.49,-1.09,NASDAQ,,American
AA,2024-06-28,39.84,40.12,39.1,39.78,6829130,39.71,-0.06,-0.1506,NASDAQ,,American
AA,2024-07-31,32.79,33.57,32.76,33.04,6746214,33.04,0.25,0.76243,NASDAQ,,American
AA,2024-08-30,32.5,32.6,31.82,32.1,3339800,32.255,-0.4,-1.23,NASDAQ,,American
AA,2024-09-30,38.9,39.03,38.27,38.58,3456631,38.695,-0.32,-0.82262,NASDAQ,,American
AA,2024-10-31,40.34,40.56,39.44,40.09,3905300,40.1075,-0.25,-0.61973,NASDAQ,,American
AA,2024-11-29,45.85,46.57,45.15,46.43,1785239,46.0,0.58,1.26,NASDAQ,,American
AA,2024-12-31,37.24,38.18,37.24,37.78,2458900,37.61,0.54,1.45,NASDAQ,,American
AA,2025-01-31,35.5,36.24,35.16,35.32,5315132,35.555,-0.18,-0.50704,NASDAQ,,American
AA,2025-02-28,33.0,33.36,32.55,33.25,4671800,33.04,0.25,0.75758,NASDAQ,,American
AA,2025-03-31,29.74,30.63,28.8,30.5,4982209,29.9175,0.76,2.56,NASDAQ,,American
AA,2025-04-30,24.0,24.6,23.6,24.53,5394700,24.1825,0.53,2.21,NASDAQ,,American
AA,2025-05-30,27.31,27.55,26.54,26.77,5724425,27.0425,-0.54,-1.98,NASDAQ,,American
AA,2025-06-30,29.15,29.6,29.03,29.51,7087700,29.3225,0.36,1.23,NASDAQ,,American
AA,2025-07-31,29.87,30.69,29.66,29.97,5337700,30.0475,0.1,0.33478,NASDAQ,,American
AA,2025-08-29,31.9,32.47,31.8,32.19,4180732,32.09,0.29,0.90909,NASDAQ,,American
AA,2025-09-30,33.47,33.47,31.98,32.89,8584200,32.9525,-0.575,-1.73,NASDAQ,,American
AA,2025-10-31,37.02,37.02,36.42,36.79,4578328,36.8125,-0.23,-0.62129,NASDAQ,,American
AA,2025-11-28,42.17,42.17,41.48,41.74,3769000,41.89,-0.43,-1.02,NASDAQ,,American
AA,2025-12-31,54.39,54.58,52.64,53.14,5678937,53.6875,-1.25,-2.3,NASDAQ,,American
AA,2026-01-16,62.79,63.35,59.95,60.07,12282479,61.54,-2.72,-4.33,NASDAQ,,American
ALGT,2021-01-29,186.74,186.74,178.66,181.49,82307,183.4075,-5.25,-2.81,NASDAQ,,Allegiant Air
ALGT,2021-02-26,249.89,256.37,243.52,252.19,95852,250.4925,2.3,0.9204,NASDAQ,,Allegiant Air
ALGT,2021-03-31,245.7,247.35,240.58,244.06,185550,244.4225,-1.64,-0.66748,NASDAQ,,Allegiant Air
ALGT,2021-04-30,233.24,238.0,233.24,235.73,94748,235.0525,2.49,1.07,NASDAQ,,Allegiant Air
ALGT,2021-05-28,226.0,227.5,220.66,221.46,99408,223.905,-4.54,-2.01,NASDAQ,,Allegiant Air
ALGT,2021-06-30,191.01,195.75,191.01,194.0,166860,192.9425,2.99,1.57,NASDAQ,,Allegiant Air
ALGT,2021-07-30,194.84,198.84,187.81,190.12,166385,192.9025,-4.72,-2.42,NASDAQ,,Allegiant Air
ALGT,2021-08-31,189.17,193.2,188.43,192.44,132243,190.81,3.27,1.73,NASDAQ,,Allegiant Air
ALGT,2021-09-30,201.98,201.98,195.37,195.48,113787,198.7025,-6.5,-3.22,NASDAQ,,Allegiant Air
ALGT,2021-10-29,176.16,177.7,173.06,175.27,130487,175.5475,-0.89,-0.50522,NASDAQ,,Allegiant Air
ALGT,2021-11-30,171.69,173.53,169.11,173.22,143934,171.8875,1.53,0.89114,NASDAQ,,Allegiant Air
ALGT,2021-12-31,189.0,190.39,186.51,187.04,156751,188.235,-1.96,-1.04,NASDAQ,,Allegiant Air
ALGT,2022-01-31,169.91,179.15,168.79,178.66,276533,174.1275,8.75,5.15,NASDAQ,,Allegiant Air
ALGT,2022-02-28,171.3,175.8,169.61,174.09,271662,172.7,2.79,1.63,NASDAQ,,Allegiant Air
ALGT,2022-03-31,160.69,164.28,160.69,162.39,286667,162.0125,1.7,1.06,NASDAQ,,Allegiant Air
ALGT,2022-04-29,159.93,162.84,154.71,155.19,203049,158.1675,-4.74,-2.96,NASDAQ,,Allegiant Air
ALGT,2022-05-31,149.28,150.51,146.29,149.45,233260,148.8825,0.17,0.11388,NASDAQ,,Allegiant Air
ALGT,2022-06-30,111.12,114.14,109.82,113.09,184964,112.0425,1.97,1.77,NASDAQ,,Allegiant Air
ALGT,2022-07-29,115.42,116.14,113.66,115.31,201572,115.1325,-0.11,-0.09530411,NASDAQ,,Allegiant Air
ALGT,2022-08-31,100.09,100.09,96.0,96.5,181748,98.17,-3.59,-3.59,NASDAQ,,Allegiant Air
ALGT,2022-09-30,74.61,75.91,72.97,72.98,209200,74.1175,-1.63,-2.18,NASDAQ,,Allegiant Air
ALGT,2022-10-31,72.5,75.75,71.29,75.05,318699,73.6475,2.55,3.52,NASDAQ,,Allegiant Air
