holder_name,cik,form,filing_date,accession_number,primary_document
State Street,93751,13F-HR,2025-11-14,0000093751-25-000651,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2025-11-14,0001104659-25-112514,xslForm13F_X02/primary_doc.xml
Fidelity,315066,13F-HR,2025-11-13,0000315066-25-002929,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2025-11-13,0001172661-25-004777,xslForm13F_X02/primary_doc.xml
Vanguard,102909,13F-HR,2025-11-07,0000102909-25-000353,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2025-08-14,0001104659-25-078555,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2025-08-13,0001172661-25-003151,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2025-05-15,0000950123-25-005687,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2025-05-14,0001172661-25-001828,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2025-02-14,0000950123-25-002739,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2025-02-13,0001172661-25-000823,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2024-11-14,0000950123-24-011767,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2024-11-13,0001172661-24-004671,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2024-08-14,0000950123-24-008735,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2024-08-14,0001172661-24-003581,xslForm13F_X02/primary_doc.xml
BlackRock,1364742,13F-HR,2024-08-13,0001086364-24-008417,xslForm13F_X02/primary_doc.xml
Citadel,1423053,13F-HR,2024-05-15,0000950123-24-005615,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2024-05-14,0001172661-24-002257,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2024-02-14,0001172661-24-001126,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2023-11-13,0001172661-23-003769,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2023-08-11,0001172661-23-002943,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2023-05-12,0001172661-23-002051,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2023-02-13,0001172661-23-000737,xslForm13F_X02/primary_doc.xml
Bridgewater,1350694,13F-HR,2022-11-10,0001172661-22-002357,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2022-08-11,0001172661-22-001788,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2022-05-13,0001172661-22-001289,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2022-02-14,0001172661-22-000562,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2021-11-12,0001172661-21-002162,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2021-08-13,0001172661-21-001668,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2021-05-14,0001172661-21-001153,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2021-02-12,0001567619-21-003290,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2020-11-13,0001567619-20-019382,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2020-08-12,0001567619-20-014895,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2020-05-14,0001567619-20-010047,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2020-02-13,0001567619-20-003264,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2019-11-13,0001567619-19-021161,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2019-08-13,0001567619-19-016421,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2019-05-14,0001567619-19-010822,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2019-02-13,0001567619-19-003499,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2018-11-13,0001567619-18-005788,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR/A,2018-08-13,0001567619-18-000646,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2018-08-13,0001567619-18-000648,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR/A,2018-08-08,0001567619-18-000074,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2018-05-15,0001140361-18-023865,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2018-02-13,0001140361-18-007141,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2017-11-13,0001140361-17-041998,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2017-08-10,0001140361-17-031111,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2017-05-11,0001140361-17-019802,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2017-02-10,0001140361-17-005803,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2016-11-09,0001140361-16-085573,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2016-08-10,0001140361-16-075565,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2016-05-13,0001140361-16-065095,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2016-02-11,0001140361-16-051801,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2015-11-12,0001140361-15-040647,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2015-08-11,0001140361-15-030974,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2015-05-14,0001140361-15-019529,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2015-02-11,0001140361-15-005578,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2014-11-12,0001140361-14-041083,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2014-08-12,0001140361-14-031924,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2014-05-14,0001140361-14-021000,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2014-02-12,0001140361-14-006358,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2013-11-13,0001140361-13-042089,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2013-08-13,0001140361-13-031944,xslForm13F_X01/primary_doc.xml
Bridgewater,1350694,13F-HR,2013-05-13,0001140361-13-020200,form13fhr.txt
Bridgewater,1350694,13F-HR,2013-02-13,0001140361-13-006490,form13fhr.txt
Bridgewater,1350694,13F-HR,2012-11-13,0001140361-12-046781,form13fhr.txt
Bridgewater,1350694,13F-HR,2012-08-10,0001140361-12-036262,form13fhr.txt
Bridgewater,1350694,13F-HR,2012-05-15,0001140361-12-025314,form13fhr.txt
Bridgewater,1350694,13F-HR,2012-02-15,0001140361-12-008478,form13fhr.txt
Bridgewater,1350694,13F-HR,2011-11-14,0001140361-11-053066,form13fhr.txt
Bridgewater,1350694,13F-HR,2011-08-11,0001140361-11-041045,form13fhr.txt
