symbol,name,lag,n_obs,coefficient,p_value,r_squared_pct,t_stat
SKYW,SkyWest,13,44,-3.6459120372488476,0.0005298583496472652,25.116257615519288,-3.753257312360048
UPS,United Parcel Service,35,22,-16.013213289087616,0.0025822423719240655,37.192721486508354,-3.441430386656967
SKYW,SkyWest,9,48,-3.1997878822569534,0.0034494507575558732,17.133168689147727,-3.0839504744228483
ULCC,Frontier,39,15,20.510423208119448,0.0038041755895131296,48.72639759486512,3.5148509469513685
ALGT,Allegiant Air,3,54,-4.584378383895513,0.004009435077492503,14.848591977278236,-3.0112609464129494
ALGT,Allegiant Air,48,9,17.978028860245175,0.005172224344814635,69.59359817675856,4.002682573470378
SKYW,SkyWest,25,32,2.806262526417453,0.0066269389936668725,22.100767215605554,2.91741164595944
ULCC,Frontier,47,7,27.927398964295037,0.007100577851660777,79.3859658663978,4.388088453027074
AA,American,36,21,-7.382777703797841,0.011828431361294542,28.973769638491632,-2.7840044114680818
SKYW,SkyWest,23,34,2.646816708473037,0.013145246134411303,17.72854406102734,2.625952906248774
ALGT,Allegiant Air,4,53,-3.9973600405450047,0.014715214476773156,11.113461371374322,-2.5251766392999073
SKYW,SkyWest,12,45,-2.763001135974036,0.015308843367938961,12.919576793130949,-2.5257950403057094
AA,American,39,18,6.889300767995332,0.018151646254110223,30.201738817667454,2.631198805292771
ULCC,Frontier,16,38,9.557646789651661,0.020829280266926795,13.964469308361338,2.417266577931898
UAL,United,48,9,5.792300805446258,0.02530248062701213,53.4111531957135,2.8328528568629454
ALGT,Allegiant Air,31,26,5.518252527990993,0.028019830565205905,18.55780914235259,2.3385370170381967
AA,American,3,54,-6.201164911843972,0.029952254519270815,8.742468286519511,-2.231949405154201
AA,American,12,45,6.621134221824237,0.03434596114478071,9.99746919213742,2.1855055022285854
DAL,Delta,45,12,-6.607522375599104,0.040891015326650154,35.5071129554384,-2.346398495539286
ALGT,Allegiant Air,8,49,3.536810839180954,0.04637250347529684,8.178354730284754,2.0460176025646266
AA,American,28,29,5.72714103135397,0.0473944679522486,13.781993363496126,2.077489853889551
SKYW,SkyWest,44,13,2.9981626267071766,0.048499119407495433,30.910570767345902,2.2184214324438987
ALGT,Allegiant Air,33,24,-5.308208143824185,0.04974022075517096,16.38677718300633,-2.076445960020621
SKYW,SkyWest,19,38,-2.1714555838387204,0.05016999257268644,10.239521521537597,-2.0265088396005058
ALK,Alaska,16,41,-3.0308634961240486,0.05194444254591513,9.344147579697726,-2.004953132565855
SKYW,SkyWest,15,42,-2.1281012002211246,0.06125227653685042,8.48542271190863,-1.9258461854968212
AA,American,35,22,-5.5306849583412685,0.07059640969285028,15.424979088946767,-1.9098806685057736
